#,question,a,b,c,d,correct_answer,category
ο»Ώ1,"Ξ— ΞµΞ»ΞµΟ…ΞΈΞµΟΞ―Ξ± Ξ­ΞΊΟ†ΟΞ±ΟƒΞ·Ο‚ Ξ³Ξ½ΟΞΌΞ·Ο‚ Ξ±ΟƒΞΊΞµΞ―Ο„Ξ±ΞΉ:","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚","Ξ‘Ο€Ο ΟΟƒΞΏΟ…Ο‚/ΞµΟ‚ ΞµΟ…ΟΞ―ΟƒΞΊΞΏΞ½Ο„Ξ±ΞΉ ΟƒΟ„Ξ·Ξ½ Ξ•Ξ»Ξ»Ξ·Ξ½ΞΉΞΊΞ® ΞµΟ€ΞΉΞΊΟΞ¬Ο„ΞµΞΉΞ±","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚ ΞΊΞ±ΞΉ Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ ΞΏΞΌΞΏΞ³ΞµΞ½ΞµΞ―Ο‚","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΊΞ±Ο„ΟΟ‡ΞΏΟ…Ο‚ Ο„Ξ·Ο‚ ΞΊΞΏΞΉΞ½Ξ®Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΉΞΈΞ±Ξ³Ξ­Ξ½ΞµΞΉΞ±Ο‚",1,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
12,"Ξ— Ξ»Ξ±ΟΞΊΞ® ΞΊΟ…ΟΞΉΞ±ΟΟ‡Ξ―Ξ±, ΟƒΟ„ΞΏ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ…ΞΌΞ¬ ΞΌΞ±Ο‚, ΞµΞ―Ξ½Ξ±ΞΉ:","Ξ†Ξ³ΟΞ±Ο†Ξ· Ξ±ΟΟ‡Ξ®","ΞΞµΞΌΞµΞ»ΞΉΟΞ΄Ξ·Ο‚ ΟƒΟ…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΞ® Ξ±ΟΟ‡Ξ®","ΞΞ±Ο„ΟΟ„ΞµΟΞ· Ξ±Ο€Ο Ο„Ξ·Ξ½ ΞµΞΈΞ½ΞΉΞΊΞ® ΞΊΟ…ΟΞΉΞ±ΟΟ‡Ξ―Ξ±","Ξ Ξ¬Ξ½Ο‰ Ξ±Ο€Ο Ο„ΞΏ Ξ£ΟΞ½Ο„Ξ±Ξ³ΞΌΞ±",1,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
13,"Ξ— Ξ±Ξ―Ο„Ξ·ΟƒΞ· ΞΈΞµΟΞ±Ο€ΞµΞ―Ξ±Ο‚:","Ξ•Ξ―Ξ½Ξ±ΞΉ ΟƒΟ…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΞ¬ ΞΊΞ±Ο„ΞΏΟ‡Ο…ΟΟ‰ΞΌΞ­Ξ½Ξ· ΟƒΟ„ΞΏ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ± Ξ±Ξ½Ξ±Ο†ΞΏΟΞ¬Ο‚","ΞΟ€ΞΏΟΞµΞ― Ξ½Ξ± Ξ±ΟƒΞΊΞ·ΞΈΞµΞ―, ΞµΟ†ΟΟƒΞΏΞ½ Ο€ΟΞΏΞ²Ξ»Ξ­Ο€ΞµΟ„Ξ±ΞΉ ΟƒΟ„ΞΏΞ½ Ξ½ΟΞΌΞΏ","Ξ”ΞµΞ½ Ξ΄Ξ·ΞΌΞΉΞΏΟ…ΟΞ³ΞµΞ― Ο…Ο€ΞΏΟ‡ΟΞ­Ο‰ΟƒΞ· Ο„Ξ·Ο‚ Ξ΄ΞΉΞΏΞ―ΞΊΞ·ΟƒΞ·Ο‚ Ξ½Ξ± Ξ±Ο€Ξ±Ξ½Ο„Ξ®ΟƒΞµΞΉ","ΞΞ±ΞΌΞ―Ξ± Ξ±Ο€Ο Ο„ΞΉΟ‚ Ξ»ΞΏΞΉΟ€Ξ­Ο‚ Ξ±Ο€Ξ±Ξ½Ο„Ξ®ΟƒΞµΞΉΟ‚",0,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
14,"Ξ‘Ο€Ξ±Ξ³ΞΏΟΞµΟΞµΟ„Ξ±ΞΉ Ξ· ΞΌΞµΟ„Ξ±Ξ²ΞΏΞ»Ξ® Ο„ΞΏΟ… Ο€ΟΞΏΞΏΟΞΉΟƒΞΌΞΏΟ Ο„Ο‰Ξ½ Ξ΄Ξ±ΟƒΟΞ½:","Ξ•ΞΊΟ„ΟΟ‚ ΞµΞ¬Ξ½ ΞµΞΎΟ…Ο€Ξ·ΟΞµΟ„ΞµΞ―Ο„Ξ±ΞΉ Ο…Ο€Ξ­ΟΟ„ΞµΟΞΏ Ξ΄Ξ·ΞΌΟΟƒΞΉΞΏ ΟƒΟ…ΞΌΟ†Ξ­ΟΞΏΞ½","Ξ§Ο‰ΟΞ―Ο‚ Ξ±Ο€ΞΏΞ¶Ξ·ΞΌΞ―Ο‰ΟƒΞ·","Ξ§Ο‰ΟΞ―Ο‚ Ξ½ΟΞΌΞΏ ΟΞ·Ο†ΞΉΟƒΞΌΞ­Ξ½ΞΏ Ξ±Ο€Ο Ο„Ξ± 3/5 Ο„Ο‰Ξ½ ΞΌΞµΞ»ΟΞ½ Ο„Ξ·Ο‚ Ξ’ΞΏΟ…Ξ»Ξ®Ο‚","Ξ§Ο‰ΟΞ―Ο‚ Ξ½Ξ± ΞΉΞ΄ΟΟ…ΞΈΞµΞ― ΞΊΞ­Ξ½Ο„ΟΞΏ Ο€ΞµΟΞ―ΞΈΞ±Ξ»ΟΞ·Ο‚ Ο„Ξ·Ο‚ Ξ¬Ξ³ΟΞΉΞ±Ο‚ Ξ¶Ο‰Ξ®Ο‚",0,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
15,"Ξ”ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ± Ο„ΞΏΟ… ΞµΞΊΞ»Ξ­Ξ³ΞµΟƒΞΈΞ±ΞΉ ΟƒΟ„ΞΏ Ξ²ΞΏΟ…Ξ»ΞµΟ…Ο„ΞΉΞΊΟ Ξ±ΞΎΞ―Ο‰ΞΌΞ± Ξ­Ο‡ΞΏΟ…Ξ½ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚ ΞΌΞµ:","Ξ™ΞΊΞ±Ξ½ΟΟ„Ξ·Ο„Ξ± ΞµΞΊΞ»Ξ­Ξ³ΞµΞΉΞ½ Ξ¬Ξ½Ο‰ Ο„Ο‰Ξ½ 25 ΞµΟ„ΟΞ½","Ξ™ΞΊΞ±Ξ½ΟΟ„Ξ·Ο„Ξ± ΞµΞΊΞ»Ξ­Ξ³ΞµΞΉΞ½ Ξ¬Ξ½Ο‰ Ο„Ο‰Ξ½ 35 ΞµΟ„ΟΞ½","Ξ™ΞΊΞ±Ξ½ΟΟ„Ξ·Ο„Ξ± ΞµΞΊΞ»Ξ­Ξ³ΞµΞΉΞ½ Ξ¬Ξ½Ο‰ Ο„Ο‰Ξ½ 21 ΞµΟ„ΟΞ½","Ξ™ΞΊΞ±Ξ½ΟΟ„Ξ·Ο„Ξ± ΞµΞΊΞ»Ξ­Ξ³ΞµΞΉΞ½ Ο€ΞΏΟ… Ξ΄ΞµΞ½ Ξ­Ο‡ΞΏΟ…Ξ½ ΞΊΞ±Ο„Ξ±Ξ΄ΞΉΞΊΞ±ΟƒΟ„ΞµΞ― Ο€ΞΏΞΉΞ½ΞΉΞΊΞ¬ Ξ³ΞΉΞ± ΞΏΟ€ΞΏΞΉΞΏΞ΄Ξ®Ο€ΞΏΟ„Ξµ Ξ±Ξ΄Ξ―ΞΊΞ·ΞΌΞ±",0,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
16,"ΞΞΉ Ξ΄Ξ·ΞΌΟΟƒΞΉΞΏΞΉ Ο…Ο€Ξ¬Ξ»Ξ»Ξ·Ξ»ΞΏΞΉ ΞΌΟ€ΞΏΟΞΏΟΞ½ Ξ½Ξ± ΞµΞΊΟ†ΟΞ¬Ξ¶ΞΏΟ…Ξ½ Ο„ΞΉΟ‚ Ο€ΞµΟ€ΞΏΞΉΞΈΞ®ΟƒΞµΞΉΟ‚ Ο„ΞΏΟ…Ο‚ Ο…Ο€Ξ­Ο Ξ® ΞΊΞ±Ο„Ξ¬ Ο€ΞΏΞ»ΞΉΟ„ΞΉΞΊΞΏΟ ΞΊΟΞΌΞΌΞ±Ο„ΞΏΟ‚;","Ξ‘Ο€Ξ±Ξ³ΞΏΟΞµΟΞµΟ„Ξ±ΞΉ Ξ±Ο€ΞΏΞ»ΟΟ„Ο‰Ο‚","ΞΟΞ½ΞΏ ΞΊΞ±Ο„Ξ¬ Ο„Ξ·Ξ½ Ξ¬ΟƒΞΊΞ·ΟƒΞ· Ο„Ο‰Ξ½ ΞΊΞ±ΞΈΞ·ΞΊΟΞ½Ο„Ο‰Ξ½ Ο„ΞΏΟ…Ο‚","ΞΟΞ½ΞΏ ΞµΞΊΟ„ΟΟ‚ Ο„Ξ·Ο‚ Ξ¬ΟƒΞΊΞ·ΟƒΞ·Ο‚ Ο„Ο‰Ξ½ ΞΊΞ±ΞΈΞ·ΞΊΟΞ½Ο„Ο‰Ξ½ Ο„ΞΏΟ…Ο‚","ΞΟ€ΞΏΟΞΏΟΞ½ Ξ¬Ξ½ΞµΟ… Ο€ΞµΟΞΉΞΏΟΞΉΟƒΞΌΞΏΟ",2,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
17,"Ξ”Ξ•Ξ ΞµΟ€ΞΉΟ„ΟΞ­Ο€ΞµΟ„Ξ±ΞΉ Ξ· Ξ±Ξ½Ξ±Ξ³ΞΊΞ±ΟƒΟ„ΞΉΞΊΞ® Ξ±Ο€Ξ±Ξ»Ξ»ΞΏΟ„ΟΞ―Ο‰ΟƒΞ· Ξ±ΞΊΞΉΞ½Ξ®Ο„Ο‰Ξ½:","Ξ ΞΏΟ… ΟƒΟ…Ξ½ΞΉΟƒΟ„ΞΏΟΞ½ Ο„Ξ·Ξ½ Ο€ΟΟΟ„Ξ· ΞΊΞ±Ο„ΞΏΞΉΞΊΞ―Ξ±","Ξ ΞΏΟ… Ξ±Ξ½Ξ®ΞΊΞΏΟ…Ξ½ ΟƒΞµ Ξ¬Ο„ΞΏΞΌΞ± Ο„Ξ·Ο‚ Ο„ΟΞ―Ο„Ξ·Ο‚ Ξ·Ξ»ΞΉΞΊΞ―Ξ±Ο‚","Ξ§Ο‰ΟΞ―Ο‚ Ξ±Ο€ΞΏΞ¶Ξ·ΞΌΞ―Ο‰ΟƒΞ·","Ξ ΞΏΟ… Ξ±Ξ½Ξ®ΞΊΞΏΟ…Ξ½ ΟƒΞµ ΞµΟ…Ξ¬Ξ»Ο‰Ο„ΞµΟ‚ Ο€Ξ»Ξ·ΞΈΟ…ΟƒΞΌΞΉΞ±ΞΊΞ­Ο‚ ΞΏΞΌΞ¬Ξ΄ΞµΟ‚",2,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
18,"H Ξ±Ξ½Ξ±Ξ΄ΟΞΏΞΌΞΉΞΊΞ® ΞΊΞ±Ο„Ξ¬ΟΞ³Ξ·ΟƒΞ· Ο„ΞΏΟ… ΞµΟ€ΞΉΞ΄ΟΞΌΞ±Ο„ΞΏΟ‚ Ο„Ξ­ΞΊΞ½Ο‰Ξ½ Ο„Ο‰Ξ½ Ξ΄Ξ·ΞΌΞΏΟƒΞ―Ο‰Ξ½ Ο…Ο€Ξ±Ξ»Ξ»Ξ®Ξ»Ο‰Ξ½ ΟƒΞµ Ο€ΞΏΞΉΞ± ΞΈΞµΞΌΞµΞ»ΞΉΟΞ΄Ξ· Ξ±ΟΟ‡Ξ® Ο„ΞΏΟ… Ξ΄ΞΉΞΏΞΉΞΊΞ·Ο„ΞΉΞΊΞΏΟ Ξ΄ΞΉΞΊΞ±Ξ―ΞΏΟ… ΞµΞ―Ξ½Ξ±ΞΉ Ξ΄Ο…Ξ½Ξ±Ο„ΟΞ½ Ξ½Ξ± Ο€ΟΞΏΟƒΞΊΟΞΏΟΟƒΞµΞΉ;","Ξ£Ο„Ξ·Ξ½ Ξ±ΟΟ‡Ξ® Ο„Ξ·Ο‚ Ο…Ο€ΞµΟΞΏΟ‡Ξ®Ο‚ ΞΊΞ±ΞΉ Ο„Ξ·Ο‚ Ο€ΟΞΏΟƒΟ„Ξ±ΟƒΞ―Ξ±Ο‚ Ο„ΞΏΟ… Ξ΄Ξ·ΞΌΟΟƒΞΉΞΏΟ… ΟƒΟ…ΞΌΟ†Ξ­ΟΞΏΞ½Ο„ΞΏΟ‚","Ξ£Ο„Ξ·Ξ½ Ξ±ΟΟ‡Ξ® Ο„Ξ·Ο‚ Ξ±ΞΎΞΉΞΏΞΊΟΞ±Ο„Ξ―Ξ±Ο‚","Ξ£Ο„Ξ·Ξ½ Ξ±ΟΟ‡Ξ® Ο„Ξ·Ο‚ Ξ±ΞΌΞµΟΞΏΞ»Ξ·ΟΞ―Ξ±Ο‚ Ο„Ο‰Ξ½ ΞΏΟΞ³Ξ¬Ξ½Ο‰Ξ½ Ο„Ξ·Ο‚ Ξ΄Ξ·ΞΌΟΟƒΞΉΞ±Ο‚ Ξ΄ΞΉΞΏΞ―ΞΊΞ·ΟƒΞ·Ο‚","Ξ£Ο„Ξ·Ξ½ Ξ±ΟΟ‡Ξ® Ο„Ξ·Ο‚ Ξ΄ΞΉΞΊΞ±ΞΉΞΏΞ»ΞΏΞ³Ξ·ΞΌΞ­Ξ½Ξ·Ο‚ ΞµΞΌΟ€ΞΉΟƒΟ„ΞΏΟƒΟΞ½Ξ·Ο‚ Ο„ΞΏΟ…/Ο„Ξ·Ο‚ Ξ΄ΞΉΞΏΞΉΞΊΞΏΟΞΌΞµΞ½ΞΏΟ…/Ξ·Ο‚",3,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
19,"Ξ£Ο„ΞΏΟ…Ο‚ Ξ±Ο€ΞΏΞ΄Ξ­ΞΊΟ„ΞµΟ‚ Ο„Ο‰Ξ½ ΞΈΞµΞΌΞµΞ»ΞΉΟ‰Ξ΄ΟΞ½ Ξ΄ΞΉΞΊΞ±ΞΉΟ‰ΞΌΞ¬Ο„Ο‰Ξ½:","Ξ£Ο…Ξ³ΞΊΞ±Ο„Ξ±Ξ»Ξ­Ξ³ΞµΟ„Ξ±ΞΉ ΞΌΟΞ½ΞΏ Ξ· Ξ½ΞΏΞΌΞΏΞΈΞµΟ„ΞΉΞΊΞ® ΞµΞΎΞΏΟ…ΟƒΞ―Ξ±","Ξ£Ο…Ξ³ΞΊΞ±Ο„Ξ±Ξ»Ξ­Ξ³ΞΏΞ½Ο„Ξ±ΞΉ ΞΌΟΞ½ΞΏ ΞΏΞΉ Ο„ΟΞµΞΉΟ‚ ΟƒΟ…Ξ½Ο„ΞµΟ„Ξ±Ξ³ΞΌΞ­Ξ½ΞµΟ‚ ΞµΞΎΞΏΟ…ΟƒΞ―ΞµΟ‚ Ο„ΞΏΟ… ΞΊΟΞ¬Ο„ΞΏΟ…Ο‚ (Ξ½ΞΏΞΌΞΏΞΈΞµΟ„ΞΉΞΊΞ®, ΞµΞΊΟ„ΞµΞ»ΞµΟƒΟ„ΞΉΞΊΞ®, Ξ΄ΞΉΞΊΞ±ΟƒΟ„ΞΉΞΊΞ®)","ΞΟ€ΞΏΟΞΏΟΞ½ Ξ½Ξ± ΟƒΟ…Ξ³ΞΊΞ±Ο„Ξ±Ξ»Ξ­Ξ³ΞΏΞ½Ο„Ξ±ΞΉ ΞΊΞ±ΞΉ ΞΏΞΉ ΞΉΞ΄ΞΉΟΟ„ΞµΟ‚","Ξ£Ο…Ξ³ΞΊΞ±Ο„Ξ±Ξ»Ξ­Ξ³ΞΏΞ½Ο„Ξ±ΞΉ ΞΌΟΞ½ΞΏΞ½ ΞΏΞΉ ΞΉΞ΄ΞΉΟΟ„ΞµΟ‚",2,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
20,"Ξ§Ξ±ΟΞ±ΞΊΟ„Ξ·ΟΞΉΟƒΟ„ΞΉΞΊΟ Ξ³Ξ½ΟΟΞΉΟƒΞΌΞ± Ο„ΞΏΟ… ΞΊΞΏΞΉΞ½ΞΏΞ²ΞΏΟ…Ξ»ΞµΟ…Ο„ΞΉΞΊΞΏΟ ΟƒΟ…ΟƒΟ„Ξ®ΞΌΞ±Ο„ΞΏΟ‚ ΞµΞ―Ξ½Ξ±ΞΉ:","ΞΟ„ΞΉ Ξ· ΞΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ· ΞΏΟ†ΞµΞ―Ξ»ΞµΞΉ Ξ½Ξ± Ξ±Ο€ΞΏΞ»Ξ±ΞΌΞ²Ξ¬Ξ½ΞµΞΉ Ο„Ξ·Ξ½ ΞµΞΌΟ€ΞΉΟƒΟ„ΞΏΟƒΟΞ½Ξ· Ο„Ξ·Ο‚ Ξ’ΞΏΟ…Ξ»Ξ®Ο‚","Ξ— Ξ±Ο€ΟΞ»Ο…Ο„Ξ· Ξ΄ΞΉΞ¬ΞΊΟΞΉΟƒΞ· Ο„Ο‰Ξ½ Ξ»ΞµΞΉΟ„ΞΏΟ…ΟΞ³ΞΉΟΞ½","ΞΟ„ΞΉ Ξ· ΞΟ…Ξ²Ξ­ΟΞ½Ξ·ΟƒΞ· Ξ΄ΞµΞ½ Ξ±Ο€Ξ±ΞΉΟ„ΞµΞ―Ο„Ξ±ΞΉ Ξ½Ξ± Ξ­Ο‡ΞµΞΉ Ο„Ξ·Ξ½ ΞµΞΌΟ€ΞΉΟƒΟ„ΞΏΟƒΟΞ½Ξ· Ο„Ξ·Ο‚ Ξ’ΞΏΟ…Ξ»Ξ®Ο‚ ΞΊΞ±ΞΈΟΟ‚ ΞµΞ―Ξ½Ξ±ΞΉ Ξ±Ξ½ΞµΞΎΞ¬ΟΟ„Ξ·Ο„Ξ· Ξ±Ο€Ο Ξ±Ο…Ο„Ξ®Ξ½","ΞΟ„ΞΉ ΞΏ/Ξ· Ξ Ο„Ξ” ΞµΞΊΞ»Ξ­Ξ³ΞµΟ„Ξ±ΞΉ Ο€Ξ¬Ξ½Ο„Ξ± ΞΌΞµ Ξ±Ο…ΞΎΞ·ΞΌΞ­Ξ½Ξ· Ο€Ξ»ΞµΞΉΞΏΟΞ·Ο†Ξ―Ξ± Ξ±Ο€Ο Ο„Ξ· Ξ’ΞΏΟ…Ξ»Ξ®",0,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
21,"Ξ ΞΏΞΉΞ± ΞµΞ―Ξ½Ξ±ΞΉ Ξ· ΞµΟ…ΞΈΟΞ½Ξ· Ο„ΞΏΟ…/Ο„Ξ·Ο‚ Ξ²ΞΏΟ…Ξ»ΞµΟ…Ο„Ξ® Ξ³ΞΉΞ± Ο„Ξ·Ξ½ Ξ¬Ο€ΞΏΟΞ· Ο€ΞΏΟ… ΞµΞΎΞ­Ο†ΟΞ±ΟƒΞµ ΞΊΞ±Ο„Ξ¬ Ο„Ξ·Ξ½ Ξ¬ΟƒΞΊΞ·ΟƒΞ· Ο„Ο‰Ξ½ Ξ²ΞΏΟ…Ξ»ΞµΟ…Ο„ΞΉΞΊΟΞ½ Ο„ΞΏΟ… ΞΊΞ±ΞΈΞ·ΞΊΟΞ½Ο„Ο‰Ξ½;","O/Ξ— Ξ²ΞΏΟ…Ξ»ΞµΟ…Ο„Ξ®Ο‚ Ξ΄ΞµΞ½ ΞΊΞ±Ο„Ξ±Ξ΄ΞΉΟΞΊΞµΟ„Ξ±ΞΉ ΞΏΟΟ„Ξµ ΞµΞΎΞµΟ„Ξ¬Ξ¶ΞµΟ„Ξ±ΞΉ ΞΌΞµ ΞΏΟ€ΞΏΞΉΞΏΞ½Ξ΄Ξ®Ο€ΞΏΟ„Ξµ Ο„ΟΟΟ€ΞΏ Ξ³ΞΉΞ± Ξ³Ξ½ΟΞΌΞ· Ξ® ΟΞ®Ο†ΞΏ Ο€ΞΏΟ… Ξ­Ξ΄Ο‰ΟƒΞµ ΞΊΞ±Ο„Ξ¬ Ο„Ξ·Ξ½ Ξ¬ΟƒΞΊΞ·ΟƒΞ· Ο„Ο‰Ξ½ Ξ²ΞΏΟ…Ξ»ΞµΟ…Ο„ΞΉΞΊΟΞ½ ΞΊΞ±ΞΈΞ·ΞΊΟΞ½Ο„Ο‰Ξ½","Ξ/Ξ— Ξ²ΞΏΟ…Ξ»ΞµΟ…Ο„Ξ®Ο‚ Ο†Ξ­ΟΞµΞΉ Ο€ΞΏΞΉΞ½ΞΉΞΊΞ® ΞµΟ…ΞΈΟΞ½Ξ·","O/Ξ— Ξ²ΞΏΟ…Ξ»ΞµΟ…Ο„Ξ®Ο‚ Ξ΄ΞµΞ½ ΞΊΞ±Ο„Ξ±Ξ΄ΞΉΟΞΊΞµΟ„Ξ±ΞΉ ΞΏΟΟ„Ξµ ΞµΞΎΞµΟ„Ξ¬Ξ¶ΞµΟ„Ξ±ΞΉ ΞΌΞµ ΞΏΟ€ΞΏΞΉΞΏΞ½Ξ΄Ξ®Ο€ΞΏΟ„Ξµ Ο„ΟΟΟ€ΞΏ Ξ³ΞΉΞ± Ξ³Ξ½ΟΞΌΞ· Ξ® ΟΞ®Ο†ΞΏ Ο€ΞΏΟ… Ξ­Ξ΄Ο‰ΟƒΞµ ΞΊΞ±Ο„Ξ¬ Ο„Ξ·Ξ½ Ξ¬ΟƒΞΊΞ·ΟƒΞ· Ο„Ο‰Ξ½ Ξ²ΞΏΟ…Ξ»ΞµΟ…Ο„ΞΉΞΊΟΞ½ ΞΊΞ±ΞΈΞ·ΞΊΟΞ½Ο„Ο‰Ξ½ Ο€Ξ±ΟΞ¬ ΞΌΟΞ½ΞΏ Ξ³ΞΉΞ± ΟƒΟ…ΞΊΞΏΟ†Ξ±Ξ½Ο„ΞΉΞΊΞ® Ξ΄Ο…ΟƒΟ†Ξ®ΞΌΞ·ΟƒΞ·, ΞΊΞ±Ο„Ξ¬ Ο„ΞΏΞ½ Ξ½ΟΞΌΞΏ, ΟΟƒΟ„ΞµΟΞ± Ξ±Ο€Ο Ξ¬Ξ΄ΞµΞΉΞ± Ο„Ξ·Ο‚ BΞΏΟ…Ξ»Ξ®Ο‚","Ξ/Ξ— Ξ²ΞΏΟ…Ξ»ΞµΟ…Ο„Ξ®Ο‚ Ξ΄ΞµΞ½ Ξ­Ο‡ΞµΞΉ ΞΊΞ±ΞΌΞ―Ξ± ΞµΟ…ΞΈΟΞ½Ξ·",2,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
22,"Ξ— Ξ±Ο€ΞΏΞΊΞ­Ξ½Ο„ΟΟ‰ΟƒΞ· ΟƒΟ„ΞΏ Ξ£ΟΞ½Ο„Ξ±Ξ³ΞΌΞ± Ο„ΞΏΟ… 1975:","Ξ‘Ο€ΞΏΟ„ΞµΞ»ΞµΞ― Ο„Ξ· Ξ³ΞµΞ½ΞΉΞΊΞ® Ξ±ΟΟ‡Ξ® Ο€ΞΏΟ… ΞΊΞ±Ο„ΞΏΟ‡Ο…ΟΟΞ½ΞµΞΉ Ο„Ξ·Ξ½ Ξ±Ο…Ο„ΞΏΞ½ΞΏΞΌΞ―Ξ± Ο„Ο‰Ξ½ ΞΏΟΞ³Ξ±Ξ½ΞΉΟƒΞΌΟΞ½ Ο„ΞΏΟ€ΞΉΞΊΞ®Ο‚ Ξ±Ο…Ο„ΞΏΞ΄ΞΉΞΏΞ―ΞΊΞ·ΟƒΞ·Ο‚","Ξ•Ξ―Ξ½Ξ±ΞΉ ΞΊΞ±Ο„ΞµΟ…ΞΈΟ…Ξ½Ο„Ξ®ΟΞΉΞ± Ξ±ΟΟ‡Ξ® ΞΌΞµ Ο€ΞΏΞ»ΞΉΟ„ΞΉΞΊΞ® ΞΊΞ±ΞΉ ΟΟ‡ΞΉ Ξ½ΞΏΞΌΞΉΞΊΞ® ΟƒΞ·ΞΌΞ±ΟƒΞ―Ξ±","Ξ¤Ξ±Ο…Ο„Ξ―Ξ¶ΞµΟ„Ξ±ΞΉ Ξ±Ο€ΞΏΞ»ΟΟ„Ο‰Ο‚ ΞΌΞµ Ο„Ξ·Ξ½ Ξ±ΟΟ‡Ξ® Ο„Ξ·Ο‚ ΞµΟ€ΞΉΞΊΞΏΟ…ΟΞΉΞΊΟΟ„Ξ·Ο„Ξ±Ο‚ ΟƒΟ„ΞΏ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ","ΞΞ±Ο„ΞΏΟ‡Ο…ΟΟΞ½ΞµΞΉ Ο„Ξ· ΟƒΟ…Ξ³ΞΊΟΟΟ„Ξ·ΟƒΞ· ΞΊΞ±ΞΉ Ξ»ΞµΞΉΟ„ΞΏΟ…ΟΞ³Ξ―Ξ± Ο€ΞµΟΞΉΟ†ΞµΟΞµΞΉΞ±ΞΊΟΞ½ ΞΊΟΞ±Ο„ΞΉΞΊΟΞ½ ΞΏΟΞ³Ξ¬Ξ½Ο‰Ξ½ ΞΌΞµ Ξ³ΞµΞ½ΞΉΞΊΞ® Ξ±Ο€ΞΏΟ†Ξ±ΟƒΞΉΟƒΟ„ΞΉΞΊΞ® Ξ±ΟΞΌΞΏΞ΄ΞΉΟΟ„Ξ·Ο„Ξ±",3,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
