#,question,a,b,c,d,correct_answer,category
4,"Ποια θύρα χρησιμοποιείται συνήθως για τη σύνδεση εξωτερικών συσκευών, όπως εκτυπωτές και εξωτερικοί δίσκοι;",HDMI,USB,Ethernet,VGA,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
5,Ποιο από τα παρακάτω αποτελεί βασικό χαρακτηριστικό των υπερυπολογιστών (supercomputers);,Χρησιμοποιούνται για καθημερινές εργασίες γραφείου,Εκτελούν εξαιρετικά πολύπλοκους υπολογισμούς ταχύτατα,Είναι φθηνότεροι από τους επιτραπέζιους υπολογιστές,Λειτουργούν μόνο με ανανεώσιμες πηγές ενέργειας,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
6,Σε ποιο επίπεδο μνήμης η CPU προσπελαύνει δεδομένα με τη μεγαλύτερη ταχύτητα;,Σκληρός Δίσκος (HDD),RAM,Κρυφή Μνήμη (Cache),USB Flash Drive,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
7,Ποιο είναι το κύριο χαρακτηριστικό του λογισμικού ανοικτού κώδικα;,Είναι μη εκτελέσιμο σε Windows,Ο πηγαίος κώδικας είναι διαθέσιμος για τροποποίηση,Είναι πάντα δωρεάν,Δεν απαιτεί εγκατάσταση,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
8,Ποιο από τα παρακάτω ΔΕΝ είναι διανομή Linux;,Ubuntu,Fedora,Safari,Debian,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
9,"Ποιο λειτουργικό σύστημα είναι γνωστό για τη γραμμή εντολών (Terminal, CLI);",Windows,MacOS,Linux,Όλες οι λοιπές απαντήσεις,3,Πληροφορική και Ψηφιακή Διακυβέρνηση
10,Ποιο από τα παρακάτω είναι λειτουργικό σύστημα;,Microsoft Excel,Mozilla Firefox,Ubuntu,Adobe Photoshop,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
11,"Σύμφωνα με τον νόμο 4727/2020 περί ψηφιακής διακυβέρνησης, ποιο ηλεκτρονικό δημόσιο έγγραφο από τα παρακάτω πρέπει να φέρει υποχρεωτικά τα στοιχεία του οργάνου που υπέγραψε το έγγραφο ως τελικός υπογράφων;",Το πρωτότυπο ηλεκτρονικό δημόσιο έγγραφο,Το ηλεκτρονικό ακριβές αντίγραφο,Το ψηφιοποιημένο ακριβές αντίγραφο,Καμία από τις λοιπές απαντήσεις,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
12,Η νομοθεσία για τη ψηφιακή διακυβέρνηση αναφέρεται στην ηλεκτρονική διακίνηση εγγράφων μεταξύ δημοσίων φορέων ως:,Υποχρεωτική με χρήση πιστοποιημένων συστημάτων,Προαιρετική για φορείς με χαμηλό τεχνολογικό εξοπλισμό,Απαγορευμένη για διαβαθμισμένα δεδομένα,Δευτερεύουσα λειτουργία των πληροφοριακών συστημάτων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
13,Στο Ευρωπαϊκό Πλαίσιο Διαλειτουργικότητας (European Interoperability Framework - EIF) διακρίνουμε δομή με τα παρακάτω επίπεδα:,"Θεσμικό, Οργανωτικό, Σημασιολογικό, Τεχνικό","Θεσμικό, Οργανωτικό, Σημασιολογικό","Οργανωτικό, Σημασιολογικό, Τεχνικό","Θεσμικό, Οικονομικό, Σημασιολογικό, Τεχνικό",0,Πληροφορική και Ψηφιακή Διακυβέρνηση
14,Ποια είναι η κύρια ωφέλεια της αρχής «μόνον άπαξ»;,Μειώνει την ανάγκη για επαναλαμβανόμενη υποβολή πληροφοριών από τους πολίτες και τις επιχειρήσεις,Αυξάνει την πολυπλοκότητα των διαδικασιών του Δημοσίου,Ενθαρρύνει την επαναληπτική υποβολή δεδομένων για την ακρίβεια των πληροφοριών,Δημιουργεί επιπλέον βήματα στη διαδικασία υποβολής αιτήσεων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
15,Τι είναι ο αντικειμενοστρεφής προγραμματισμός;,Προγραμματισμός με τη χρήση γραφικών αντικειμένων,"Παράδειγμα προγραμματισμού που βασίζεται σε ""αντικείμενα"" που περιέχουν δεδομένα και κώδικα",Προγραμματισμός μόνο για κινητές συσκευές,Προγραμματισμός αποκλειστικά σε γλώσσα μηχανής,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
16,Τι είναι μια συνάρτηση (function);,Μια μεταβλητή που αποθηκεύει ένα σύνολο δεδομένων,Ένα μπλοκ κώδικα που εκτελεί μια συγκεκριμένη εργασία,Ένα σχόλιο στον κώδικα,Μια εντολή για την εμφάνιση κειμένου στην οθόνη,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
17,Ποια είναι η βασική αρχή του MVC στη σχεδίαση λογισμικού;,Model-Video-Control,Model-View-Controller,Multiple-Vector-Calculation,Memory-Virtual-Cache,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
18,Ποια γλώσσα προγραμματισμού χρησιμοποιείται κυρίως για ανάπτυξη εφαρμογών iOS;,Java,Kotlin,Swift,C#,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
19,Τι είναι το API;,Ένας τύπος προγραμματιστικού λάθους,Ένα λειτουργικό σύστημα,Διεπαφή Προγραμματισμού Εφαρμογών,Ένα πρόγραμμα ασφάλειας,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
20,Τι είναι ο αλγόριθμος;,Σειρά βημάτων για την επίλυση ενός προβλήματος,Τύπος παράλληλου υπολογιστή,Πρόγραμμα συνεχούς αναπαραγωγής βίντεο,Μηχανισμός αποθήκευσης σύνθετων δεδομένων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
21,Ποιο από τα παρακάτω αποτελεί παράδειγμα ενός δημόσιου blockchain;,Το εσωτερικό σύστημα διαχείρισης της αλυσίδας εφοδιασμού μιας εταιρείας,Μια κεντρική βάση δεδομένων για τραπεζικές συναλλαγές,Ένα αποκεντρωμένο δίκτυο κρυπτονομισμάτων ανοιχτό σε όλους,Ένα ιδιωτικό κατανεμημένο καθολικό (distributed ledger) που χρησιμοποιείται στο πλαίσιο μιας κυβερνητικής υπηρεσίας,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
22,Ποιο είναι το πιο διαδεδομένο σύστημα διαχείρισης βάσεων δεδομένων;,MySQL,Microsoft Word,Internet Explorer,Windows Media Player,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
23,Ποιος είναι ο κύριος σκοπός ενός Συστήματος Ενδοεπιχειρησιακού Σχεδιασμού (Enterprise Resource Planning - ERP);,Διαχείριση και αυτοματοποίηση επιχειρησιακών διαδικασιών μέσω μιας ενοποιημένης πλατφόρμας,Ανάλυση δεδομένων πελατών και δημιουργία στοχευμένων διαφημίσεων,Διατήρηση ασφαλούς πρόσβασης στο εσωτερικό δίκτυο μιας επιχείρησης,Παροχή αποκλειστικά εργαλείων για τη διαχείριση ανθρώπινου δυναμικού,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
24,Ποιο είναι το βασικό πλεονέκτημα των σχεσιακών βάσεων δεδομένων;,Ακεραιότητα δεδομένων,Γραφικό περιβάλλον,Ταχύτητα εκτύπωσης,Αναπαραγωγή πολυμεσικών δεδομένων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
25,Τι είναι το DBMS;,Σύστημα Διαχείρισης Βάσεων Δεδομένων,Πρόγραμμα επεξεργασίας κειμένου,Λογισμικό αναπαραγωγής πολυμεσικών δεδομένων,Συσκευή αποθήκευσης,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
26,Ποιο είναι το όφελος των «ανοιχτών δεδομένων»;,"Αυξάνουν την ποιότητα, την αποδοτικότητα και τη διαφάνεια των δημόσιων υπηρεσιών",Οδηγούν σε εξοικονόμηση κόστους,Προσφέρουν μεγαλύτερη αποδοτικότητα στις διαδικασίες και την παροχή δημόσιων υπηρεσιών.,Όλες οι λοιπές απαντήσεις,3,Πληροφορική και Ψηφιακή Διακυβέρνηση
27,Τι περιγράφει καλύτερα τον όρο «δυναμικά δεδομένα» σύμφωνα με τις διατάξεις του νόμου 4727/2020;,Έγγραφα σε ψηφιακή μορφή που παραμένουν στατικά και δεν αλλάζουν με την πάροδο του χρόνου,Δεδομένα που είναι διαθέσιμα μόνο σε έντυπη μορφή και δεν μπορούν να ψηφιοποιηθούν,"Δεδομένα που υπόκεινται σε συχνές ή σε πραγματικό χρόνο επικαιροποιήσεις, κυρίως λόγω της μεταβλητότητας ή της ταχείας απαξίωσής τους",Στατικά δεδομένα που χρησιμοποιούνται για ιστορικές αναλύσεις χωρίς ανάγκη επικαιροποίησης,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
28,Τι είναι η κανονικοποίηση (normalization) σε μια βάση δεδομένων;,Διαδικασία αφαίρεσης τιμών NULL από έναν σχεδιακό πίνακα,Διαδικασία ελαχιστοποίησης της πλεονάζουσας πληροφορίας και βελτίωσης της ακεραιότητας των δεδομένων,Μέθοδος συμπίεσης δεδομένων για αποθήκευση,Διαδικασία αποκρυπτογράφησης δεδομένων,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
29,Ποια από τις παρακάτω περιγραφές εξηγεί με μεγαλύτερη ακρίβεια στον όρο «μεταδεδομένα» (metadata);,"Δεδομένα που περιέχουν αποκλειστικά τεχνικές λεπτομέρειες αποθήκευσης και πρόσβασης, όπως διευθύνσεις μνήμης και τύπους αρχείων","Δομημένες πληροφορίες που περιγράφουν, εξηγούν ή διευκολύνουν την αναζήτηση, οργάνωση και διαχείριση άλλων δεδομένων",Πρόσθετα δεδομένα που αποθηκεύονται σε ξεχωριστή βάση από τα κύρια δεδομένα και δεν σχετίζονται άμεσα με αυτά,"Πληροφορίες που χρησιμοποιούνται μόνο για την ασφάλεια και την κρυπτογράφηση των δεδομένων, χωρίς άλλη λειτουργικότητα",1,Πληροφορική και Ψηφιακή Διακυβέρνηση
30,Ποια είναι η κύρια λειτουργία μιας μηχανής ροής εργασιών (workflow engine);,Διαχείριση και εκτέλεση προκαθορισμένων επιχειρησιακών διαδικασιών,Σχεδιασμός δικτυακών ιστοτόπων,Αποθήκευση μεγάλων ποσοτήτων αδόμητων δεδομένων,Βελτίωση γραφικών και κινούμενων εικόνων στον υπολογιστή,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
31,Ποιο από τα παρακάτω είναι ένα πρότυπο για τη μοντελοποίηση επιχειρησιακών διαδικασιών;,JPEG,BPMN,SQL,HTML,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
32,Ποιος είναι ο κύριος ρόλος ενός διαγράμματος ακολουθίας (sequence diagram);,Να απεικονίσει τη ροή δεδομένων σε ένα σύστημα,Να περιγράψει τη δομή μιας βάσης δεδομένων,Να καταγράψει την αλληλεπίδραση μεταξύ αντικειμένων σε μια χρονική ακολουθία,Να περιγράψει τη διεπαφή χρήστη μιας εφαρμογής,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
33,Ποιο από τα ακόλουθα ΔΕΝ αποτελεί λειτουργική απαίτηση (functional requirement);,Το σύστημα πρέπει να επιτρέπει στους/στις χρήστες/τριες να δημιουργούν και να επεξεργάζονται τα προφίλ τους,Η εφαρμογή πρέπει να κρυπτογραφεί όλους τους αποθηκευμένους κωδικούς πρόσβασης,Το σύστημα πρέπει να υποστηρίζει πολλαπλούς ρόλους χρηστών/στριών με διαφορετικά επίπεδα πρόσβασης,"Το σύστημα πρέπει να έχει χρόνο διαθεσιμότητας 99,9%",3,Πληροφορική και Ψηφιακή Διακυβέρνηση
34,Ποιο είναι το πρωτόκολλο του ηλεκτρονικού ταχυδρομείου (email);,SMTP,HTTP,FTP,TCP,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
35,Ποια είναι η λειτουργία του DNS;,Μετατροπή IP διευθύνσεων σε ονόματα τομέων και αντίστροφα,Κρυπτογράφηση δεδομένων,Συμπίεση αρχείων,Διαχείριση emails,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
36,"Ποιος είναι ο κύριος σκοπός της χρήσης μιας στρατηγικής εναλλαγής αντιγράφων ασφαλείας, όπως η μέθοδος παππού-πατέρα-γιου (GFS);",Να διασφαλιστεί ότι διατηρείται μόνο το πιο πρόσφατο αντίγραφο ασφαλείας,Να διατηρούνται πολλαπλές γενιές αντιγράφων ασφαλείας για ανάκτηση με την πάροδο του χρόνου,Να μειωθεί το κόστος αποθήκευσης αντιγράφων ασφαλείας,Να διατηρούνται τα αντίγραφα ασφαλείας κρυπτογραφημένα,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
37,Ποιος από τους ακόλουθους είναι ο κύριος σκοπός της εφαρμογής εξισορρόπησης φορτίου (load balancing) σε ένα πληροφοριακό σύστημα;,Να παρακολουθεί και να καταγράφει την κυκλοφορία του δικτύου για ανάλυση ασφαλείας,Να διασφαλίσει ότι τα δεδομένα των χρηστών/τριών κρυπτογραφούνται κατά τη μεταφορά μεταξύ των διακομιστών,"Η τακτική δημιουργία αντιγράφων ασφαλείας των δεδομένων των χρηστών/τριών, ώστε να αποφεύγεται η απώλεια δεδομένων κατά τη διάρκεια βλάβης του διακομιστή","Να κατανέμει ομοιόμορφα την κυκλοφορία του δικτύου σε πολλούς διακομιστές, εξασφαλίζοντας τη βέλτιστη απόδοση και διαθεσιμότητα",3,Πληροφορική και Ψηφιακή Διακυβέρνηση
38,Τι είναι το bandwidth;,Εύρος ζώνης δικτύου,Μέγεθος οθόνης,Ταχύτητα επεξεργαστή,Χωρητικότητα δίσκου,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
39,Ποιο από τα ακόλουθα αποτελεί την «αρχή των ελαχίστων προνομίων»;,Οι χρήστες/τριες πρέπει να έχουν διαχειριστική πρόσβαση στις συσκευές τους,Οι χρήστες/τριες θα πρέπει να έχουν μόνο την ελάχιστη πρόσβαση που είναι απαραίτητη για την εκτέλεση της εργασίας τους,Όλα τα δεδομένα θα πρέπει να αποθηκεύονται σε κρυπτογραφημένη μορφή,Τα δημόσια κλειδιά θα πρέπει να μοιράζονται μόνο με επαληθευμένους χρήστες/τριες,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
40,Ποιος είναι ο πρωταρχικός στόχος της εμπιστευτικότητας στην ασφάλεια υπολογιστών;,Να δημοσιοποιηθούν όλα τα δεδομένα,Να εξασφαλιστεί η απόδοση του συστήματος,Να προστατεύονται οι ευαίσθητες πληροφορίες από μη εξουσιοδοτημένη πρόσβαση,Να αυξηθεί η ταχύτητα του δικτύου,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
41,Ποια είναι η βασική λειτουργία της κρυπτογράφησης;,Προστασία της εμπιστευτικότητας των δεδομένων,Αύξηση ταχύτητας δικτύου,Διαχείριση αρχείων,Συμπίεση δεδομένων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
42,Τι είναι το malware;,Κακόβουλο λογισμικό,Πρόγραμμα προστασίας,Λογισμικό backup,Εργαλείο διαχείρισης,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
43,Τι είναι το two-factor authentication;,Διπλός έλεγχος ταυτότητας,Τύπος βάσης δεδομένων,Πρόγραμμα γραφικών,Σύστημα αρχείων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
44,Τι ορίζεται ως «δεδομένα προσωπικού χαρακτήρα»;,Κάθε πληροφορία που αφορά μη ταυτοποιημένα φυσικά πρόσωπα,Κάθε πληροφορία που αφορά ταυτοποιημένο ή ταυτοποιήσιμο φυσικό πρόσωπο («υποκείμενο των δεδομένων»),Μόνο οι αριθμοί ταυτότητας και τα ονόματα των φυσικών προσώπων,Πληροφορίες που σχετίζονται αποκλειστικά με οικονομικά δεδομένα,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
45,Ποια είναι η κύρια διαφορά μεταξύ συμμετρικής και ασύμμετρης κρυπτογραφίας;,Η συμμετρική κρυπτογραφία είναι ταχύτερη αλλά λιγότερο ασφαλής από την ασύμμετρη κρυπτογραφία,"Η συμμετρική χρησιμοποιεί ένα κλειδί, ενώ η ασύμμετρη χρησιμοποιεί ένα δημόσιο και ένα ιδιωτικό κλειδί",Η συμμετρική κρυπτογραφία χρησιμοποιείται μόνο για αρχεία κειμένου,Η ασύμμετρη κρυπτογραφία δεν μπορεί να χρησιμοποιηθεί για ασφαλή επικοινωνία,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
46,Ποιος είναι ο κύριος σκοπός ενός CAPTCHA στην ασφάλεια ιστοσελίδων;,Να βελτιώσει την ταχύτητα φόρτωσης της ιστοσελίδας,Να αποτρέψει την πρόσβαση αυτοματοποιημένων ρομπότ (bots) στις υπηρεσίες,Να βελτιώσει την εμπειρία χρήστη,Να κρυπτογραφήσει τα δεδομένα των χρηστών/τριών,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
47,Ποια από τις παρακάτω δηλώσεις σχετικά με τον σκοπό της ηλεκτρονικής υπογραφής ΔΕΝ είναι σωστή;,"Χρησιμοποιείται για την ταυτοποίηση του υπογράφοντος, δηλαδή τη σύνδεση της ηλεκτρονικής συναλλαγής με το φυσικό πρόσωπο που υπογράφει",Εξασφαλίζει τη γνησιότητα των ψηφιακών δεδομένων,"Δεσμεύει τον υπογράφοντα ως προς τη συναλλαγή, αποτρέποντάς τον από το να αρνηθεί τη συμβολή του",Χρησιμοποιείται για την κρυπτογράφηση των δεδομένων της συναλλαγής,3,Πληροφορική και Ψηφιακή Διακυβέρνηση
48,Ποιο από τα παρακάτω αποτελεί παράδειγμα επιβλεπόμενης μάθησης (Supervised Learning);,Ομαδοποίηση ειδήσεων ανά θέμα,Πρόβλεψη τιμών κατοικιών βάσει προηγούμενων δεδομένων,Ανακάλυψη ανωμαλιών σε συναλλαγές χωρίς προηγούμενα παραδείγματα,Εξερεύνηση δεδομένων χωρίς προκαθορισμένες κατηγορίες,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
49,Ποιο από τα παρακάτω ανήκει στις ΜΗ επιβλεπόμενες τεχνικές μάθησης;,Νευρωνικά δίκτυα,Λογιστική παλινδρόμηση,Ομαδοποίηση (Clustering),Γραμμική παλινδρόμηση,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
50,Τι κάνει ένα CNN (Convolutional Neural Network);,Χρησιμοποιείται για την ανάλυση κειμένου,Χρησιμοποιείται για την ανίχνευση μοτίβων σε εικόνες,Δουλεύει μόνο με ήχο,Είναι αλγόριθμος γραμμικής παλινδρόμησης,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
51,Ποιο από τα παρακάτω αποτελεί το κύριο πλεονέκτημα της Αυτο-επιβλεπόμενης Μάθησης (Self-Supervised Learning);,Δεν απαιτεί ετικέτες ή επίβλεψη από ανθρώπους για την εκπαίδευση του μοντέλου,Απαιτεί την παρουσία ανθρώπου σε κάθε βήμα της εκπαίδευσης,Είναι πιο αργή από τη Επιβλεπόμενη Μάθηση,Χρησιμοποιεί μόνο μικρά σύνολα δεδομένων για την εκπαίδευση,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
52,Ποιo από τα παρακάτω αποτελεί κοινή πρόκληση όταν εξετάζουμε θέματα ηθικής στον τομέα της Τεχνητής Νοημοσύνης;,Η διασφάλιση των δεδομένων από βλάβες υλικού,Διασφάλιση ότι οι μηχανές έχουν συναισθήματα,Πρόληψη της μεροληψίας και διασφάλιση της δικαιοσύνης στη λήψη αποφάσεων,Βελτίωση της διάρκειας ζωής των μπαταριών στις συσκευές,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
53,Γιατί είναι σημαντική η επεξηγησιμότητα (explainability) στα συστήματα Τεχνητής Νοημοσύνης;,Βοηθά τα μοντέλα Τεχνητής Νοημοσύνης να εκτελούνται ταχύτερα,Αυξάνει το μέγεθος των συνόλων δεδομένων εκπαίδευσης,Εξασφαλίζει ότι οι αποφάσεις της Τεχνητής Νοημοσύνης είναι διαφανείς και κατανοητές στους ανθρώπους,Εξαλείφει την ανάγκη για προεπεξεργασία δεδομένων Ενότητα: Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα),2,Πληροφορική και Ψηφιακή Διακυβέρνηση
1,"Ποιου μεγάλου Έλληνα ιστορικού το ογκώδες έργο ""Ιστορία του Ελληνικού Έθνους"" τεκμηρίωσε τη συνέχεια των Ελλήνων από την αρχαιότητα μέχρι σήμερα  μέσω της βυζαντινής ιστορίας;",Του Ιωάννη Κορδάτου,Του Σπυρίδωνος Τρικούπη,Του Σπυρίδωνος Μαρκεζίνη,Του Κωνσταντίνου Παπαρρηγόπουλου,3,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
2,Ποιος πρώην πρωθυπουργός ΔΕΝ απεβίωσε στο εξωτερικό;,Ο Χαρίλαος Τρικούπης,Ο Γεώργιος Παπανδρέου,Ο Ελευθέριος Βενιζέλος,"Κανείς από τους Τρικούπη, Παπανδρέου, Βενιζέλο",1,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
3,Ποιο αγροτικό προϊόν ήταν τόσο σημαντικό για την ελληνική οικονομία ώστε οι  διακυμάνσεις της τιμής του δημιουργούσαν οικονομική και πολιτική κρίση στην Ελλάδα στα τέλη του 19ου και τις αρχές του 20ου αιώνα;,Το σιτάρι,Ο καπνός,Η σταφίδα,Το βαμβάκι,2,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
4,Ποιος ήταν ο επιφανέστερος αγωνιστής του Μακεδονικού Αγώνα στη δεκαετία του 1900 που έχασε τη ζωή του στον αγώνα αυτό;,Ο Λορέντζος Μαβίλης,Ο Παύλος Μελάς,Ο Ίων Δραγούμης,Ο Μητροπολίτης Καστοριάς Γερμανός Καραβαγγέλης,1,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
5,Πριν γίνει πρωθυπουργός της Ελλάδος ο Ελευθέριος Βενιζέλος είχε:,Αναδειχθεί σε ηγετικό στέλεχος της εξέγερσης των Κρητών με αίτημα την ένωση με την Ελλάδα,Διατελέσει Πρεσβευτής εκ προσωπικοτήτων της Ελλάδος στο Παρίσι,Εκλεγεί ‘Υπατος Αρμοστής της Κρήτης,Διατελέσει για λίγους μήνες Υπουργός Δικαιοσύνης στην κυβέρνηση Θεοτόκη,0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
6,Ποιος Έλληνας βουλευτής και λογοτέχνης σκοτώθηκε πολεμώντας κατά τους βαλκανικούς πολέμους;,Ο Λορέντζος Μαβίλης,Ο Κώστας Καρυωτάκης,Ο Ιωάννης Πολέμης,Ο Ανδρέας Καρκαβίτσας,0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
7,Ποια είναι η σωστή χρονική σειρά της διεύρυνσης του ελληνικού Κράτους;,"Θεσσαλία, Επτάνησα, Μακεδονία/Ήπειρος, Θράκη, Δωδεκάνησα","Επτάνησα,  Θεσσαλία, Μακεδονία/ Ήπειρος, Θράκη, Δωδεκάνησα","Επτάνησα, Θεσσαλία, Μακεδονία/Ήπειρος, Δωδεκάνησα, Θράκη","Θεσσαλία, Μακεδονία/ Ήπειρος, Επτάνησα, Δωδεκάνησα, Θράκη",1,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
8,Πότε σχηματίσθηκε στη Θεσσαλονίκη κυβέρνηση ξεχωριστή από αυτή που είχε την  έδρα της στην Αθήνα;,Κατά τη διάρκεια του Εθνικού Διχασμού στον Α’ Παγκόσμιο Πόλεμο,Κατά τη διάρκεια της Κατοχής,Κατά τη διάρκεια της δικτατορίας του 1967-1974,Κατά τη διάρκεια του Ελληνο-Τουρκικού Πολέμου του 1897,0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
9,Με ποια συνθήκη περιήλθε στην Ελλάδα η Δυτική Θράκη;,Τη Συνθήκη του Μοντρέ το 1936,Τη Συνθήκη του Νειγύ το 1919,Τη Συνθήκη του Βουκουρεστίου το 1913,Τη Συνθήκη των Σεβρών το 1920,1,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
10,Ποιος ήταν ο Δημήτριος Γούναρης;,"Διακεκριμένος νομικός, στενός συνεργάτης του Ελευθέριου Βενιζέλου",Ηγετικό στέλεχος του Λαϊκού Κόμματος στη δεκαετία του 1930,"Εκσυγχρονιστής πολιτικός που έγινε πρωθυπουργός στα τέλη της δεκαετίας του 1900, λίγο πριν την έλευση στην Αθήνα του Βενιζέλου",Ηγέτης της αντιβενιζελικής παράταξης ο οποίος εκτελέσθηκε μετά τη Μικρασιατική Καταστροφή,3,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
11,Ποια από τις παρακάτω διεθνείς εξελίξεις ευνόησε την Τουρκία τη διετία πριν τη Μικρασιατική Καταστροφή;,"Η πολιτική εξασθένιση του βρετανού πρωθυπουργού Ντέιβιντ Λόυντ Τζωρτζ και η ήττα του Γάλλου ομολόγου του Κλεμανσώ στις εκλογές του 1920, υπέρμαχων των ελληνικών θέσεων",Η παρέμβαση του αμερικανού Προέδρου Γούντροου Γουίλσον υπέρ της Τουρκίας,Η επικράτηση στη μεταπολεμική Γερμανία κυβερνήσεων που τάσσονταν υπέρ των τουρκικών θέσεων,Η δημιουργία της Κοινωνίας των Εθνών που τάχθηκε υπέρ της ακεραιότητας της Τουρκίας,0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
12,Ποιος από τους παρακάτω πολιτικούς κέρδισε στις τελευταίες βουλευτικές εκλογές που έλαβε μέρος:,Ο Χαρίλαος Τρικούπης,Ο Ελευθέριος Βενιζέλος,Ο Νικόλαος Πλαστήρας,Ο Θεόδωρος Δηλιγιάννης,3,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
13,Η Τράπεζα της Ελλάδος άρχισε να λειτουργεί:,Το 1912,Το 1928,Το 1932,Το 1935,1,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
14,Ποιο ποσοστό ψήφων έλαβε ο Ιωάννης Μεταξάς και το κόμμα του στις τελευταίες βουλευτικές εκλογές (1936) πριν αναλάβει την πρωθυπουργία και εν συνεχεία κηρύξει δικτατορία;,"3,7%","13,5%","25,2%","30,6%",0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
15,Ποιος δικτάτορας χρησιμοποίησε τον όρο «Γ’ Ελληνικός Πολιτισμός» θεωρώντας ότι το καθεστώς του αποτελούσε  συνέχεια του αρχαιοελληνικού και του βυζαντινού πολιτισμού;,Ο Γεώργιος Παπαδόπουλος,Ο Δημήτριος Ιωαννίδης,Ο Ιωάννης Μεταξάς,Ο Θεόδωρος Πάγκαλος,2,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
16,Τι έκανε ο πρωθυπουργός Αλέξανδρος Κορυζής καθώς προέλαυναν τα γερμανικά στρατεύματα προς την Αθήνα  τον Απρίλιο του 1941;,Αυτοκτόνησε,Διέφυγε με τον βασιλιά Γεώργιο Β’ και τους Άγγλους στην Κρήτη για να συνεχίσει τον αγώνα,Συνθηκολόγησε με τους Γερμανούς και ανέλαβε κατοχικός πρωθυπουργός,Παραιτήθηκε και ιδιώτευσε,0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
17,"Ολοκαύτωμα: Από τους 70-75.000 Έλληνες Εβραίους της προπολεμικής περιόδου, πόσοι έχασαν τη ζωή τους στα ναζιστικά στρατόπεδα συγκέντρωσης;",29,39,49,59,3,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
18,Ποιος από τους παρακάτω ΔΕΝ διετέλεσε πρόεδρος της Βουλής;,Ο Ελευθέριος Βενιζέλος,Ο Κωνσταντίνος Ροδόπουλος,Ο Κωνσταντίνος Τσαλδάρης,Ο Θεμιστοκλής Σοφούλης,2,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
