#,question,a,b,c,d,correct_answer,category
33,Ποια από τις παρακάτω προϋποθέσεις ΔΕΝ είναι απαραίτητη για την εγγραφή δημοσίου/ας υπαλλήλου στο Μητρώο Συμβούλων Ανάπτυξης Ανθρώπινου Δυναμικού;,Να είναι μόνιμος/η ή με σχέση εργασίας ιδιωτικού δικαίου αορίστου χρόνου διοικητικός/η υπάλληλος,Να διαθέτει πιστοποιητικό επάρκειας Συμβούλου Ανάπτυξης Ανθρώπινου Δυναμικού,Να έχει τον Α΄ βαθμό και πενταετή κατ’ ελάχιστο πραγματική δημόσια υπηρεσία,Να είναι κάτοχος μεταπτυχιακού τίτλου σπουδών στη Διοίκηση Ανθρώπινου Δυναμικού,3,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
34,"Σύμφωνα με τον ν. 4940/2022, ποιος/α εγκρίνει το Ενοποιημένο Σχέδιο Κυβερνητικής Πολιτικής στο οποίο εντάσσονται τα Ετήσια Σχέδια Δράσης των υπουργείων;",Η Βουλή των Ελλήνων,Ο/Η Πρωθυπουργός,Το Υπουργικό Συμβούλιο,Ο/Η Υπουργός Εσωτερικών,2,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
35,Σύμφωνα με τον ν. 4940/2022 ποιο από τα παρακάτω αποδίδει καλύτερα τη φιλοσοφία του συστήματος κινήτρων και ανταμοιβής των δημοσίων υπαλλήλων;,Η ανταμοιβή χορηγείται αποκλειστικά σε ομάδες και όχι σε μεμονωμένους υπαλλήλους,Η ανταμοιβή είναι πανομοιότυπη για όλους/ες τους/τις υπαλλήλους που πληρούν τα κριτήρια απόδοσης,Η ανταμοιβή συνδέεται άμεσα με την αξιολόγηση συγκεκριμένων αποτελεσμάτων και στόχων,"Η ανταμοιβή βασίζεται στην αρχαιότητα των υπαλλήλων, εφόσον πληρούνται οι ελάχιστες προϋποθέσεις απόδοσης",2,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
36,"Σύμφωνα με τον ν. 4940/2022, ποιος είναι ο στόχος της λειτουργίας του Κύκλου Ποιότητας Δημόσιων Οργανώσεων;",Η ανάπτυξη νέων και καινοτόμων τεχνολογιών για τη δημόσια διοίκηση,Η ενίσχυση της εφαρμογής του Κοινού Πλαισίου Αξιολόγησης (Κ.Π.Α.) και η υλοποίηση ερευνών για την εξέλιξή του,Η εκπαίδευση των δημοσίων υπαλλήλων στις σύγχρονες μεθόδους διοίκησης και τεχνολογίες επικοινωνίας,Η ενίσχυση της συνεργασίας των δημόσιων υπηρεσιών μέσω της τεχνολογίας,1,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
37,Όσοι/ες επιλέγονται από το Ειδικό Συμβούλιο Επιλογής Προϊσταμένων (ΕΙ.Σ.Ε.Π.) τοποθετούνται Προϊστάμενοι/ες για θητεία:,Δύο (2) ετών,Τριών (3) ετών,Τεσσάρων (4) ετών,Πέντε (5) ετών,1,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
38,"Η Επιτροπή Επιλογής Στελεχών του Δημοσίου, που αποτελείται από τέσσερις (4) Αντιπροέδρους ή Συμβούλους του Ανώτατου Συμβουλίου Επιλογής Προσωπικού (Α.Σ.Ε.Π.) και τον Πρόεδρο του Εθνικού Κέντρου Δημόσιας Διοίκησης και Αυτοδιοίκησης (Ε.Κ.Δ.Δ.Α.), είναι αρμόδια να:",Επιλέγει τους/τις Υπηρεσιακούς/ες Γραμματείς των υπουργείων,Προεπιλέγει τους/τις Ειδικούς/ές Γραμματείς των υπουργείων,Επιλέγει τους/τις Συντονιστές/στριες Αποκεντρωμένων Διοικήσεων,Επιλέγει τους/τις Γενικούς/ές Διευθυντές/τριες των υπουργείων,0,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
39,Βάσει του Οδηγού Ορθής Διοικητικής Συμπεριφοράς ο πιο ενδεδειγμένος τρόπος για την απάντηση δημοσίου/ας υπαλλήλου σε μια τηλεφωνική κλήση είναι:,"«Υπουργείο Παιδείας, Θρησκευμάτων και Αθλητισμού, πώς μπορώ να σας εξυπηρετήσω","«Καλημέρα σας. Ονομάζομαι ………… (όνομα)…………(επώνυμο), πώς μπορώ να σας εξυπηρετήσω","«Τμήμα Νομοθετικής Πρωτοβουλίας, πώς μπορώ να σας εξυπηρετήσω;»",«Καλημέρα. Πώς μπορώ να σας εξυπηρετήσω,1,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
40,"Σύμφωνα με τον Οδηγό Καλής Συμπεριφοράς των Δημοσίων Υπαλλήλων, ο/η δημόσιος/α υπάλληλος:","Αντλεί ο/η ίδιος/α από το διαδίκτυο τις κρίσιμες ή ζητούμενες πληροφορίες, ή καθοδηγεί τους πολίτες ώστε να τις αναζητήσουν μόνοι τους",Καθοδηγεί τους πολίτες ώστε να αναζητούν τις κρίσιμες ή ζητούμενες πληροφορίες και αποφεύγει να τις αντλεί ο/η ίδιος/α από το διαδίκτυο,Παραδίδει στους πολίτες τυπωμένες οδηγίες σχετικά με τις κρίσιμες πληροφορίες για την υπόθεσή τους και τους επισημαίνει την ευθύνη τους,Προσπαθεί να πείσει τους πολίτες να επισκεφτούν τα Κέντρα Εξυπηρέτησης Πολιτών (Κ.Ε.Π.) για να πάρουν τις πληροφορίες που θέλουν,0,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
41,Το Εθνικό Συμβούλιο Πολυεπίπεδης Διακυβέρνησης ΔΕΝ:,"Εκπονεί μελέτες και υποβάλλει προτάσεις με σκοπό την υιοθέτηση βέλτιστων διεθνών πρακτικών αποκέντρωσης, αποσυγκέντρωσης και μεταφοράς αρμοδιοτήτων",Σχεδιάζει πολιτικές προώθησης της εφαρμογής του Εθνικού Συστήματος Πολυεπίπεδης Διακυβέρνησης,Γνωμοδοτεί κατόπιν ερωτήματος του Προέδρου του Συμβουλίου Διοίκησης της Εθνικής Αρχής Διαφάνειας,Συλλέγει και παρακολουθεί τη νομολογία των εθνικών δικαστηρίων Ενότητα: Πληροφορική και Ψηφιακή Διακυβέρνηση,2,Δημόσια Διοίκηση και Διαχείριση Ανθρώπινου Δυναμικού
1,Ποια είναι η δυαδική αναπαράσταση του αριθμού 12;,1100,1000,1110,1001,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
2,Ποια είναι η βασική λειτουργία της κρυφής μνήμης (Cache) σε μια CPU;,Αποθήκευση αρχείων χρήστη,Διατήρηση προσωρινών δεδομένων για ταχύτερη προσπέλαση από την CPU,Εμφάνιση εικόνων στην οθόνη,Αποθήκευση δεδομένων στο διαδίκτυο,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
3,Ποια είναι η κύρια διαφορά μεταξύ ενός διακομιστή (server) και ενός προσωπικού υπολογιστή (PC);,Οι διακομιστές χρησιμοποιούνται για την παροχή υπηρεσιών σε άλλα συστήματα,Οι διακομιστές έχουν πάντα οθόνη και πληκτρολόγιο,Οι διακομιστές δεν διαθέτουν επεξεργαστή,Οι διακομιστές χρησιμοποιούνται μόνο για διαλογικά παιχνίδια,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
4,Ποια η διαφορά ανάμεσα στους αριθμούς σταθερής υποδιαστολής (fixed point) και στους αριθμούς κινητής υποδιαστολής (floating point);,Οι αριθμοί κινητής υποδιαστολής έχουν μεταβλητή ακρίβεια,Οι αριθμοί σταθερής υποδιαστολής καλύπτουν απεριόριστο εύρος,Οι αριθμοί κινητής υποδιαστολής χρησιμοποιούνται μόνο σε διακομιστές (servers),Οι αριθμοί σταθερής υποδιαστολής χρησιμοποιούνται κυρίως σε φορητές συσκευές,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
5,Ποια είναι η κύρια διαφορά μεταξύ SRAM και DRAM;,"Η SRAM είναι ταχύτερη και ακριβότερη, ενώ η DRAM είναι πιο αργή και φθηνότερη",Η DRAM χρησιμοποιείται ως κρυφή μνήμη (Cache),Η SRAM απαιτεί συνεχή ανανέωση των δεδομένων της,Η DRAM αποθηκεύει δεδομένα μόνιμα όπως ένας HDD,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
6,Ποιο είναι το βασικό χαρακτηριστικό ενός ενσωματωμένου (embedded) υπολογιστικού συστήματος;,Χρησιμοποιείται αποκλειστικά για gaming,Είναι σχεδιασμένο για συγκεκριμένες λειτουργίες και όχι για γενική χρήση,Έχει πάντοτε ενσωματωμένη οθόνη,Δεν απαιτεί λογισμικό για να λειτουργήσει,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
7,Ποιος είναι ο κύριος ρόλος ενός λειτουργικού συστήματος;,Διαχείριση υλικού και πόρων του υπολογιστή,Δημιουργία αρχείων κειμένου,Περιήγηση στο διαδίκτυο,Αναπαραγωγή πολυμέσων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
8,Ποια είναι η κύρια διαφορά μεταξύ λογισμικού συστήματος και εφαρμογών;,"Το λογισμικό συστήματος είναι δωρεάν, ενώ οι εφαρμογές όχι","Το λογισμικό συστήματος διαχειρίζεται το υλικό, ενώ οι εφαρμογές εξυπηρετούν τον/την χρήστη/στρια",Οι εφαρμογές είναι πάντα πιο αργές από το λογισμικό συστήματος,Το λογισμικό συστήματος είναι μόνο για προγραμματιστές,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
9,Ποιο από τα παρακάτω είναι λογισμικό ανοιχτού κώδικα (open source);,Windows 11,MacOS Sonoma,Linux,iOS,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
10,Ποια εφαρμογή ΔΕΝ είναι πρόγραμμα περιήγησης στο διαδίκτυο;,Safari,Edge,Notepad,Opera,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
11,Η νομοθεσία για τη ψηφιακή διακυβέρνηση αναφέρεται στο ηλεκτρονικό πρωτόκολλο ως:,Ένα εργαλείο αυτόματης μετάφρασης εγγράφων,"Το πληροφοριακό σύστημα συλλογής, καταγραφής και διανομής εγγράφων",Μια βάση δεδομένων με ευαίσθητα προσωπικά δεδομένα,Μια διαδικασία φυσικής καταγραφής των αρχείων,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
12,"Ποιο από τα παρακάτω είναι ορθό, σύμφωνα με τον νόμο 4727/2020;;","Η ταυτοποίηση φυσικών προσώπων είναι απαραίτητη προϋπόθεση για την έκδοση διαπιστευτηρίων, με σκοπό την αυθεντικοποίησή τους",Η αυθεντικοποίηση φυσικών προσώπων είναι απαραίτητη προϋπόθεση για την έκδοση διαπιστευτηρίων με σκοπό την ταυτοποίησή τους,"Η ταυτοποίηση φυσικών προσώπων δεν είναι απαραίτητη προϋπόθεση για την έκδοση διαπιστευτηρίων, με σκοπό την αυθεντικοποίησή τους",Καμία από τις λοιπές απαντήσεις,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
13,Ποιο από τα παρακάτω ΔΕΝ εμπίπτει στα οφέλη της εφαρμογής της αρχής «μόνον άπαξ»;,Μείωση του διοικητικού βάρους για τους πολίτες και τις επιχειρήσεις,"Αποτελεσματικότερη, αποδοτικότερη (χαμηλότερου κόστους, ταχύτερη) λειτουργία της διοίκησης",Πρόληψη της απάτης,Ενίσχυση της δημιουργίας νέων δεδομένων από τους πολίτες για κάθε αίτημα,3,Πληροφορική και Ψηφιακή Διακυβέρνηση
14,Τι είναι ο αλγόριθμος;,Μια γλώσσα προγραμματισμού,Μια λογική ακολουθία βημάτων για την επίλυση ενός προβλήματος,Μια συσκευή του υπολογιστή,Ένα πρόγραμμα που εντοπίζει σφάλματα,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
15,Τι είναι μια βιβλιοθήκη (library) στον προγραμματισμό;,Μια συλλογή από βιβλία για προγραμματισμό,Ένα ψηφιακό κατάστημα λογισμικού,Μια συλλογή προκαθορισμένων λειτουργιών και κλάσεων,Μια βάση δεδομένων,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
16,Τι είναι η SQL;,Μια γλώσσα προγραμματισμού για ανάπτυξη παιχνιδιών,Μια γλώσσα ερωτημάτων για διαχείριση βάσεων δεδομένων,Ένα λειτουργικό σύστημα,Ένα σύστημα ασφαλείας,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
17,Τι είναι ο βρόχος (loop) στον προγραμματισμό;,Ένα σφάλμα στον κώδικα,Μια δομή που επιτρέπει την επαναλαμβανόμενη εκτέλεση τμήματος κώδικα,Ένα σχόλιο στον κώδικα,Μια μέθοδος εκτύπωσης,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
18,Τι είναι μια «κλάση» (class) στον προγραμματισμό;,Μια μεταβλητή,Μια συνάρτηση,Ένα πρότυπο για τη δημιουργία αντικειμένων,Ένα σχόλιο στον κώδικα,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
19,Τι είναι το debugging;,Εντοπισμός και διόρθωση σφαλμάτων,Δημιουργία αντιγράφων ασφαλείας,Εγκατάσταση και επικαιροποίηση προγραμμάτων,Διαχείριση δομημένων αρχείων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
20,Ποιο από τα παρακάτω είναι σύστημα ελέγχου εκδόσεων;,Windows Update,Git,Microsoft Office,Adobe Photoshop,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
21,Ποιο είναι το βασικό χαρακτηριστικό του αντικειμενοστρεφούς προγραμματισμού;,Ενθυλάκωση,Παράλληλη εκτέλεση,Σειριακή επεξεργασία,Στατική μνήμη,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
22,Ποιος είναι ο κύριος σκοπός ενός Συστήματος Διαχείρισης Πελατών (Customer Relationship Management - CRM);,Δημιουργία και διαχείριση οικονομικών συναλλαγών σε μια εταιρεία,Αποθήκευση δεδομένων πελατών χωρίς ανάλυση ή χρήση για επιχειρησιακούς σκοπούς,Παρακολούθηση και ανάλυση των αλληλεπιδράσεων μιας επιχείρησης με τους πελάτες της,Έλεγχος φυσικής πρόσβασης στις εγκαταστάσεις μιας εταιρείας μέσω βιομετρικών στοιχείων,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
23,Τι είναι το η νεφοϋπολογιστική (cloud computing);,Μηχανισμός για την εξ αποστάσεως χρήση υπολογιστικών πόρων,Σύστημα για την ασφαλή τοπική αποθήκευση δεδομένων,Μηχανισμός για την κατανεμημένη διαχείριση εγγράφων,Εργαλεία για την επεξεργασία πολυμεσικών δεδομένων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
24,Ποιο από τα ακόλουθα είναι θεμελιώδες χαρακτηριστικό της τεχνολογίας blockchain;,Οι συναλλαγές αποθηκεύονται σε μια κεντρική βάση δεδομένων την οποία διαχειρίζεται ένα αξιόπιστο τρίτο μέρος,Κάθε συμμετέχων στο δίκτυο έχει πρόσβαση στο πλήρες ιστορικό των συναλλαγών,Τα αρχεία της αλυσίδας μπλοκ (blockchain) μπορούν εύκολα να τροποποιηθούν μετά την επιβεβαίωση μιας συναλλαγής,Οι συναλλαγές πρέπει να εγκριθούν από μία μόνο αρχή πριν προστεθούν στο κατανεμημένο καθολικό (distributed ledger),1,Πληροφορική και Ψηφιακή Διακυβέρνηση
25,Ποια είναι η βασική λειτουργία του JOIN;,Συνένωση πινάκων,Διαγραφή δεδομένων,Εγκατάσταση προγραμμάτων,Δημιουργία αντιγράφων ασφαλείας,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
26,Ποια από τις παρακάτω προτάσεις περιγράφει καλύτερα τα «σύνολα δεδομένων υψηλής αξίας» με βάση τις διατάξεις του νόμου 4727/2020;,Δεδομένα που δεν έχουν καμία χρησιμότητα για την κοινωνία ή την οικονομία,Δεδομένα που προορίζονται αποκλειστικά για εσωτερική χρήση από δημόσιες υπηρεσίες,"Δεδομένα που η περαιτέρω χρήση τους συνδέεται με σημαντικά οφέλη για την κοινωνία, το περιβάλλον και την οικονομία",Δεδομένα που είναι διαθέσιμα μόνο σε συγκεκριμένες επιχειρήσεις και οργανισμούς,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
27,"Ποιος είναι ο βασικός ρόλος ενός ETL (Extract, Transform, Load) συστήματος στη διαχείριση δεδομένων;",Εκτελεί ανάλυση δεδομένων και δημιουργεί αναφορές,Αποθηκεύει δεδομένα προσωρινά στη μνήμη RAM,"Μεταφέρει, μετασχηματίζει και φορτώνει δεδομένα σε αποθήκες δεδομένων",Διαχειρίζεται την κρυπτογράφηση των δεδομένων,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
28,Δώστε την περιγραφή που προσεγγίζει με μεγαλύτερη ακρίβεια μια αποθήκη δεδομένων (data warehouse);,"Σύστημα σχεδιασμένο για ανάλυση και αναφορά μεγάλων ποσοτήτων δεδομένων, βελτιστοποιημένο για ερωτήματα και αναλύσεις αντί για συναλλαγές","Σύστημα αποθήκευσης δεδομένων που επικεντρώνεται κυρίως στη διαχείριση συναλλαγών σε πραγματικό χρόνο, με περιορισμένη υποστήριξη αναλύσεων","Εξειδικευμένη βάση δεδομένων που εξυπηρετεί κυρίως εφαρμογές web, με δυνατότητες αποθήκευσης μεγάλων δεδομένων αλλά χωρίς έμφαση σε πολύπλοκες αναλύσεις","Τεχνική διαχείρισης δεδομένων που περιλαμβάνει διαδικασίες καθαρισμού και οργάνωσης, αλλά χωρίς απαραίτητα την ενοποίηση δεδομένων από διαφορετικές πηγές",0,Πληροφορική και Ψηφιακή Διακυβέρνηση
29,Ποιος αλγόριθμος χρησιμοποιείται συχνά για την ομαδοποίηση (clustering) στην ανάλυση δεδομένων;,K-means,QuickSort,Depth-First Search,PageRank,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
30,Ποιο από τα ακόλουθα σενάρια θα απαιτούσε πιθανότατα μια μηχανή ροής εργασιών (workflow engine);,Συγγραφή ενός μυθιστορήματος,Αναζήτηση αρχείων σε ένα αποθετήριο,Αυτοματοποίηση διαδικασιών έγκρισης εγγράφων,Επεξεργασία φωτογραφιών,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
31,Ποιο από τα ακόλουθα ΔΕΝ αποτελεί λειτουργική απαίτηση (functional requirement);,Το σύστημα πρέπει να επιτρέπει στους/στις χρήστες/τριες να επαναφέρουν τους κωδικούς πρόσβασής τους,Η εφαρμογή πρέπει να υποστηρίζει έλεγχο ταυτότητας χρηστών/τριών μέσω ηλεκτρονικού ταχυδρομείου και κωδικού πρόσβασης,Ο δικτυακός τόπος πρέπει να φορτώνει μέσα σε δύο δευτερόλεπτα,Το σύστημα πρέπει να παράγει μια αναφορά των μηνιαίων πωλήσεων,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
32,Τι είναι ο δρομολογητής (router);,Συσκευή δρομολόγησης δικτύου,Πρόγραμμα επεξεργασίας κειμένου,Σύστημα αποθήκευσης,Συσκευή εκτύπωσης,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
33,Ποιος είναι ο κύριος λόγος για τον οποίο η αποθήκευση αντιγράφων ασφαλείας σε πολλαπλές φυσικές τοποθεσίες θεωρείται κρίσιμη;,"Να διασφαλιστεί ότι τα δεδομένα είναι πάντα διαθέσιμα, ανεξαρτήτως δικτυακών προβλημάτων",Να επιταχυνθεί η διαδικασία ανάκτησης δεδομένων χωρίς να χρειάζεται σύνδεση στο διαδίκτυο,"Να προστατευθούν τα δεδομένα από εξωτερικές απειλές, όπως κυβερνοεπιθέσεις, και να μειωθεί ο κίνδυνος από φυσικές ή ανθρωπογενείς καταστροφές",Να μειωθούν οι απαιτήσεις απόδοσης στους εξυπηρετητές κατά την ανάγνωση των αντιγράφων ασφαλείας,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
34,Ποιο από τα παρακάτω περιγράφει καλύτερα ένα σχέδιο ανάκαμψης από καταστροφή (DRP);,Μια στρατηγική για τη διατήρηση τακτικών αντιγράφων ασφαλείας των δεδομένων,"Ένα σχέδιο για την ανάκτηση συστημάτων και δεδομένων μετά από ένα καταστροφικό συμβάν, με στόχο την επιχειρησιακή συνέχεια",Μια διαδικασία για την προστασία των δικαιωμάτων πρόσβασης χρηστών σε ευαίσθητα συστήματα και δεδομένα,Μια στρατηγική για τη διαχείριση των εκδόσεων των δεδομένων και την αποκατάσταση προηγούμενων καταστάσεων σε περίπτωση απώλειας,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
35,Ποιο πρωτόκολλο χρησιμοποιείται για ασφαλείς συνδέσεις στο διαδίκτυο;,HTTPS,FTP,SMTP,UDP,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
36,Τι προσθέτει η αυθεντικοποίηση δύο παραγόντων (2FA) στις τυπικές διαδικασίες σύνδεσης;,Εφεδρικό κωδικό πρόσβασης,Ένα πρόσθετο επίπεδο ασφάλειας με τη χρήση μιας δευτερεύουσας μεθόδου επαλήθευσης,Μια απαίτηση για έγκριση από τον διαχειριστή,Κρυπτογράφηση των διαπιστευτηρίων σύνδεσης,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
37,Ποια είναι η κύρια διαφορά μεταξύ αυθεντικοποίησης και εξουσιοδότησης;,Αποτελούν την ίδια έννοια ασφάλειας,"Η αυθεντικοποίηση επαληθεύει την ταυτότητα του/της χρήστη/τριας, ενώ η εξουσιοδότηση καθορίζει τα δικαιώματα πρόσβασης",Η αυθεντικοποίηση χορηγεί πρόσβαση στο σύστημα και καθορίζει το επίπεδο πρόσβασης,Η εξουσιοδότηση χρησιμοποιείται μόνο στην ασφάλεια δικτύου,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
38,Ποια είναι η πιο ασφαλής προσέγγιση ελέγχου ταυτότητας πολλαπλών παραγόντων;,Χρήση δύο πανομοιότυπων μεθόδων ελέγχου ταυτότητας,Βασιζόμενη αποκλειστικά στην προστασία με κωδικό πρόσβασης,Χρησιμοποιώντας μόνο βιομετρικά δεδομένα,"Συνδυάζοντας κάτι που γνωρίζετε, κάτι που έχετε και κάτι που είστε",3,Πληροφορική και Ψηφιακή Διακυβέρνηση
39,Τι είναι το firewall;,Τείχος προστασίας δικτύου,Πρόγραμμα Antivirus,Λογισμικό επεξεργασίας κειμένου,Πρόγραμμα περιήγησης,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
40,Ποια είναι η βασική αρχή της κρυπτογράφησης δημόσιου κλειδιού;,Ασύμμετρη κρυπτογράφηση,Συμπίεση αρχείων,Διαγραφή δεδομένων,Αντιγραφή αρχείων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
41,Τι είναι το antivirus;,Λογισμικό προστασίας από ιούς,Πρόγραμμα επεξεργασίας κειμένου,Σύστημα αποθήκευσης,Συσκευή εξόδου,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
42,Τι περιγράφει ο όρος «ανωνυμοποίηση»;,Την διαδικασία μετατροπής εγγράφων σε έγγραφα που σχετίζονται με ταυτοποιημένα φυσικά πρόσωπα,Την διαδικασία μετατροπής εγγράφων σε ανώνυμα έγγραφα που δεν σχετίζονται με ταυτοποιημένο ή ταυτοποιήσιμο φυσικό πρόσωπο,Την διαδικασία αποθήκευσης προσωπικών δεδομένων σε ασφαλείς βάσεις δεδομένων,Την διαδικασία επεξεργασίας προσωπικών δεδομένων για την ανάλυση των συνηθειών των χρηστών,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
43,Η ταυτοποίηση για την έκδοση διαπιστευτηρίων μπορεί να πραγματοποιηθεί:,Με φυσική παρουσία στα Κέντρα Εξυπηρέτησης Πολιτών (ΚΕΠ),Μέσω της Ανεξάρτητης Αρχής Δημοσίων Εσόδων,Με τη χρήση εξ αποστάσεως ταυτοποίησης που παρέχει διασφάλιση ισοδύναμη με τη φυσική παρουσία,Όλες οι λοιπές απαντήσεις,3,Πληροφορική και Ψηφιακή Διακυβέρνηση
44,Τι είναι η επίθεση ενδιάμεσου ανθρώπου (man-in-the-middle attack);,Απόκτηση μη εξουσιοδοτημένης πρόσβασης σε έναν διακομιστή,Υποκλοπή και αλλοίωση της επικοινωνίας μεταξύ δύο μερών,Υπερφόρτωση ενός δικτύου με κίνηση για την πρόκληση διαταραχής,Χρήση κακόβουλου λογισμικού για το κλείδωμα αρχείων και την απαίτηση λύτρων,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
45,Ποιος είναι ο πρωταρχικός ρόλος μιας αρχής πιστοποίησης (Certificate Authority -CA);,Να δημιουργεί υποδομές διαδικτύου,Να εκδίδει και να επικυρώνει ψηφιακά πιστοποιητικά,Να πωλεί ονόματα τομέα δικτυακών τόπων,Να σχεδιάζει αλγόριθμους κρυπτογράφησης,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
46,Ποια είναι η βασική διαφορά μεταξύ Μηχανικής Μάθησης (ML) και Βαθιάς Μάθησης (DL);,Η Βαθιά Μάθηση χρησιμοποιεί νευρωνικά δίκτυα με πολλές κρυφές στρώσεις,Η Μηχανική Μάθηση απαιτεί περισσότερα δεδομένα από τη Βαθιά Μάθηση,Η Βαθιά Μάθηση δεν βασίζεται σε δεδομένα για εκπαίδευση,Η Μηχανική Μάθηση χρησιμοποιεί μόνο συμβατικούς αλγορίθμους,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
47,Ποια τεχνική χρησιμοποιείται συχνά στην αναγνώριση προσώπων;,Αναδρομικά νευρωνικά δίκτυα (RNNs),Συνελικτικά νευρωνικά δίκτυα (CNNs),Γραμμική παλινδρόμηση,Ανάλυση δεδομένων σε Excel,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
48,Ποιο από τα παρακάτω είναι μια εφαρμογή της Βαθιάς Μάθησης;,Ένα απλό υπολογιστικό φύλλο,Η πρόβλεψη καιρού με μηχανική μάθηση,Η αναγνώριση εικόνας μέσω νευρωνικών δικτύων,Η χρήση SQL σε βάσεις δεδομένων,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
49,Ποια από τις παρακάτω επιλογές περιγράφει καλύτερα την Ενισχυτική Μάθηση (Reinforcement Learning - RL);,Ένας τύπος Τεχνητής Νοημοσύνης όπου οι μηχανές μαθαίνουν μιμούμενες ανθρώπινη συμπεριφορά,Μια μέθοδος Τεχνητής Νοημοσύνης όπου οι μηχανές μαθαίνουν λαμβάνοντας ανταμοιβές ή ποινές για τις ενέργειές τους σε ένα περιβάλλον,Μια τεχνική εκπαίδευσης Τεχνητής Νοημοσύνης χρησιμοποιώντας προ-επισημασμένα σύνολα δεδομένων,Μια διαδικασία όπου οι μηχανές μαθαίνουν αναλύοντας μεγάλες ποσότητες δεδομένων κειμένου,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
50,Τι είναι ένα νευρωνικό δίκτυο στην Τεχνητή Νοημοσύνη;,Ένα εργαλείο προγραμματισμού που χρησιμοποιείται για την αποσφαλμάτωση του κώδικα,Ένα φυσικό δίκτυο υπολογιστών συνδεδεμένων σε ένα γραφείο,Ένα μοντέλο εμπνευσμένο από τη δομή και τη λειτουργία του ανθρώπινου εγκεφάλου που χρησιμοποιείται για την επίλυση προβλημάτων,Μια συσκευή υλικού που έχει σχεδιαστεί για να επιταχύνει τους υπολογισμούς,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
51,Ποιος είναι ο σκοπός ενός GAN (Generative Adversarial Network);,Ανάλυση μεγάλων δεδομένων,Δημιουργία ρεαλιστικών εικόνων και βίντεο,Πρόβλεψη καιρού,Διαχείριση αρχείων,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
