#,question,a,b,c,d,correct_answer,category
6,"Τι είναι ένας ""thin client"";",Ένας ελαφρύς φορητός υπολογιστής,Ένας υπολογιστής που βασίζεται σε έναν κεντρικό server για την επεξεργασία δεδομένων,Ένα πρόγραμμα επεξεργασίας κειμένου,Μια νέα γενιά καρτών γραφικών,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
7,Ποια από τις παρακάτω τεχνολογίες χρησιμοποιείται για την επικοινωνία μεταξύ CPU και GPU;,USB 3.0,SATA III,PCI Express (PCIe),Bluetooth,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
8,Ποια είναι η κύρια λειτουργία του BIOS ή UEFI σε έναν υπολογιστή;,Ελέγχει και διαχειρίζεται τη διαδικασία εκκίνησης του συστήματος,Παρέχει αποθηκευτικό χώρο για τον/την χρήστη/στρια,Αυξάνει την ταχύτητα του επεξεργαστή,Επιταχύνει τη λειτουργία της RAM,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
9,Ποιο από τα παρακάτω ΔΕΝ είναι πρόγραμμα περιήγησης στο διαδίκτυο;,Mozilla Firefox,Google Chrome,Microsoft Edge,Adobe Acrobat,3,Πληροφορική και Ψηφιακή Διακυβέρνηση
10,Ποιο από τα παρακάτω ΔΕΝ είναι web browser:,Firefox,Safari,Word,Opera,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
11,Ποιο λειτουργικό σύστημα είναι πιο δημοφιλές σε διακομιστές (servers);,Windows,MacOS,Linux,Android,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
12,"Σύμφωνα με τη νομοθεσία για ψηφιακή διακυβέρνηση, η νομική ισχύς ηλεκτρονικών υπογραφών:",Δεν αναγνωρίζεται από το δημόσιο,Ισχύει μόνο για συμβάσεις με το κράτος,Είναι ισοδύναμη με την ιδιόχειρη υπογραφή,Είναι περιορισμένη σε εμπορικές συναλλαγές,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
13,"Τα πρωτότυπα ηλεκτρονικά δημόσια έγγραφα, τα ηλεκτρονικά πιστοποιητικά και οι ηλεκτρονικές βεβαιώσεις:",Έχουν την ίδια νομική και αποδεικτική ισχύ με τα δημόσια έγγραφα που φέρουν ιδιόχειρη υπογραφή και σφραγίδα,Έχουν μικρότερη νομική και αποδεικτική ισχύ σε σχέση με τα δημόσια έγγραφα που φέρουν ιδιόχειρη υπογραφή και σφραγίδα,Εκδίδονται μόνο εφ’ όσον δεν είναι εφικτή η έκδοση δημοσίων εγγράφων που φέρουν ιδιόχειρη υπογραφή και σφραγίδα,Διακινούνται μόνο ηλεκτρονικά,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
14,Η νομοθεσία για τη ψηφιακή διακυβέρνηση περιγράφει τις θυρίδες στην Ενιαία Ψηφιακή Πύλη ως:,Προσωπικούς λογαριασμούς για την αρχειοθέτηση εγγράφων πολιτών,Σύστημα διανομής ψηφιακών πληρωμών,Μέθοδο για την επεξεργασία αιτήσεων δημοσίων υπαλλήλων,Αποκλειστική πλατφόρμα για εμπορικές συναλλαγές,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
15,Στη Γενική Γραμματεία Πληροφοριακών Συστημάτων & Ψηφιακής Διακυβέρνησης (Γ.Γ.Π.Σ. & Ψ.Δ.) τηρείται Μητρώο Διαλειτουργικότητας με σκοπό τη διαρκή καταγραφή και αποτύπωση των:,Μητρώων πολιτών και επιχειρήσεων,Υπηρεσιών κυβερνητικού νέφους δημόσιου τομέα (G-Cloud),Διαδικτυακών υπηρεσιών (web services) φορέων του δημοσίου τομέα,Ψηφιακών ή φυσικών διοικητικών διαδικασιών των φορέων του δημόσιου τομέα,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
16,"Η διαλειτουργικότητα ενός Πληροφοριακού Συστήματος (ΠΣ) μέσω της οποίας επιτυγχάνεται η διασύνδεση συστημάτων και η ανταλλαγή δεδομένων, μπορεί να αναφέρεται μεταξύ:",του Πληροφοριακού Συστήματος (ΠΣ) και άλλων συστημάτων λογισμικού του οργανισμού,Υποσυστημάτων του Πληροφοριακού Συστήματος (ΠΣ),του Πληροφοριακού Συστήματος (ΠΣ) και άλλων τρίτων Πληροφοριακών Συστημάτων πιθανώς διαφορετικής πλατφόρμας υλοποίησης,Όλες οι λοιπές απαντήσεις,3,Πληροφορική και Ψηφιακή Διακυβέρνηση
17,Ποια είναι η διαφορά μεταξύ frontend και backend ανάπτυξης;,"Η frontend ανάπτυξη αφορά την εμφάνιση της εφαρμογής, ενώ η backend αφορά τη λογική της","Η backend ανάπτυξη αφορά την εμφάνιση της εφαρμογής, ενώ η frontend αφορά τη λογική της",Η frontend ανάπτυξη αφορά μόνο κινητές εφαρμογές,Η backend ανάπτυξη αφορά μόνο ιστοσελίδες,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
18,Τι είναι το framework λογισμικού;,Ένα πακέτο λογισμικού που παρέχει βασική δομή για ανάπτυξη εφαρμογών,Υλικό του υπολογιστή,Ένα λειτουργικό σύστημα,Ένα εργαλείο για σχεδιασμό ιστοσελίδων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
19,Ποια από τα παρακάτω είναι «μεταβλητή» σε έναν υπολογιστή;,Ένα μαθηματικό σύμβολο,Ένα αποθηκευτικό μέσο στον υπολογιστή,Μια θέση στη μνήμη που αποθηκεύει μια τιμή,Ένας τύπος συνάρτησης,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
20,Ποια γλώσσα χρησιμοποιείται για τη δημιουργία δυναμικών ιστοσελίδων στην πλευρά του διακομιστή (server-side);,HTML,CSS,PHP,XML,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
21,Ποιο από τα παρακάτω είναι παράδειγμα IDE (Integrated Development Environment);,Windows,Visual Studio,Microsoft Word,Google Chrome,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
22,Ποια είναι η διαφορά ανάμεσα σε έναν μεταγλωττιστή (compiler) και σε έναν διερμηνευτή (interpreter);,"Ο compiler μεταφράζει τον κώδικα γραμμή προς γραμμή, ενώ ο interpreter μεταφράζει όλο τον κώδικα ταυτόχρονα","Ο interpreter μεταφράζει τον κώδικα γραμμή προς γραμμή, ενώ ο compiler μεταφράζει όλο τον κώδικα ταυτόχρονα",Ο compiler χρησιμοποιείται μόνο για web εφαρμογές,O interpreter χρησιμοποιείται μόνο για mobile εφαρμογές,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
23,Ποια γλώσσα προγραμματισμού χρησιμοποιείται κυρίως για web development;,JavaScript,Microsoft Excel,Adobe Photoshop,Windows Media Player,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
24,Τι είναι η SQL;,Γλώσσα ερωτημάτων βάσεων δεδομένων,Τύπος υπολογιστή,Λειτουργικό σύστημα,Πρόγραμμα επεξεργασίας γραφικών,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
25,Τι είναι το ERP;,Σύστημα Διαχείρισης Επιχειρησιακών Πόρων,Σύστημα Ηλεκτρονικού Ταχυδρομείου,Πρόγραμμα Επεξεργασίας Εικόνας,Βάση Δεδομένων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
26,Ποια είναι η βασική λειτουργία ενός συστήματος MIS;,Υποστήριξη λήψης αποφάσεων,Αναπαραγωγή πολυμέσων,Επεξεργασία κειμένου,Περιήγηση στο διαδίκτυο,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
27,Τι είναι το primary key;,Μοναδικό αναγνωριστικό εγγραφής,Τύπος λειτουργικού συστήματος,Πρόγραμμα περιήγησης,Συσκευή εισόδου,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
28,Σύμφωνα με τις διατάξεις του νόμου 4727/2020 τα δεδομένα υψηλής αξίας σύμφωνα με την Οδηγία (ΕΕ) 2019/1024:,Διατίθενται μόνο σε έντυπη μορφή και δεν είναι προσβάσιμα μέσω διαδικτυακών πλατφορμών,"Καθίστανται διαθέσιμα για περαιτέρω χρήση σε μηχαναγνώσιμη μορφή, μέσω κατάλληλων διεπαφών προγραμματισμού εφαρμογών (APIs) και, κατά περίπτωση, ως μαζική τηλεφόρτωση",Είναι διαθέσιμα μόνο σε περιορισμένο αριθμό χρηστών/χρηστριών και όχι στο ευρύ κοινό,Δημοσιεύονται μόνο σε μορφή που δεν είναι συμβατή με τα περισσότερα προγράμματα λογισμικού,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
29,Ποια χαρακτηριστικά διακρίνουν τα μεγάλα δεδομένα (Big Data);,"Όγκος (Volume), Ταχύτητα (Velocity), Ποικιλία (Variety)","Ασφάλεια (Security), Αποθήκευση (Storage), Απόδοση (Performance)","Ευκολία χρήσης (Usability), Ακεραιότητα (Integrity), Δικτύωση (Networking)","Διαθεσιμότητα (Availability), Ποιότητα (Quality), Μηχανική Μάθηση (Machine Learning)",0,Πληροφορική και Ψηφιακή Διακυβέρνηση
30,Τι είναι ένας “κύβος δεδομένων” (data cube) στα συστήματα Σύγχρονης Αναλυτικής Επεξεργασίας ∆εδοµένων (Online Analytical Processing - OLAP);,Μια μέθοδος αποθήκευσης μη δομημένων δεδομένων σε βάσεις δεδομένων,Ένας πολυδιάστατος πίνακας δεδομένων που χρησιμοποιείται για ανάλυση,Ένα εργαλείο οπτικοποίησης για συναλλακτικά συστήματα,Ένα εξάρτημα υλικού που χρησιμοποιείται για την επεξεργασία OLAP ερωτημάτων,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
31,Ποιος είναι ο κύριος ρόλος ενός Συστήματος Διαχείρισης Εφοδιαστικής Αλυσίδας (SCM - Supply Chain Management);,Ανάλυση δεδομένων πελατών για τη δημιουργία στοχευμένων διαφημίσεων,"Παρακολούθηση και διαχείριση της ροής προϊόντων, υπηρεσιών και πληροφοριών κατά μήκος της εφοδιαστικής αλυσίδας",Ανάπτυξη στρατηγικών μάρκετινγκ για την αύξηση των πωλήσεων,Διεξαγωγή ερευνών αγοράς για τη βελτίωση των επιχειρηματικών αποφάσεων,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
32,Ποιος είναι ο κύριος ρόλος μιας ιστορίας χρήστη/τριας (user story) κατά την διάρκεια ανάπτυξης ενός λογισμικού;,Να καταγράψει την αλληλεπίδραση μεταξύ αντικειμένων σε μια χρονική ακολουθία,Να σχεδιάσει τη διεπαφή χρήστη/τριας μιας εφαρμογής,Να περιγράψει τις απαιτήσεις ενός συστήματος από την οπτική γωνία του/της χρήστη/στριας,Να απεικονίσει τη ροή δεδομένων σε ένα σύστημα,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
33,Ποιο από τα ακόλουθα είναι μη λειτουργική απαίτηση (non-functional requirement);,Το σύστημα πρέπει να επιτρέπει στους/στις χρήστες/τριες να επαναφέρουν τους κωδικούς πρόσβασής τους,Το σύστημα πρέπει να υποστηρίζει την εξαγωγή δεδομένων σε μορφή CSV,Το σύστημα πρέπει να συμμορφώνεται με τους κανονισμούς του GDPR,Η εφαρμογή πρέπει να επιτρέπει στους/στις χρήστες/τριες να φιλτράρουν τα αποτελέσματα αναζήτησης,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
34,Τι παρέχει πρωτίστως ένα εικονικό ιδιωτικό δίκτυο (VPN);,Ταχύτερη σύνδεση στο διαδίκτυο,Αύξηση του αποθηκευτικού χώρου του υπολογιστή,Κρυπτογραφημένη και ασφαλή επικοινωνία μέσω δικτύου,Προηγμένη προστασία από ιούς,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
35,Τι είναι το bandwidth;,Χωρητικότητα δικτύου,Τύπος υπολογιστή,Πρόγραμμα περιήγησης,Συσκευή αποθήκευσης,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
36,Τι είναι το HTTP;,Πρωτόκολλο Μεταφοράς Υπερκειμένου,Γλώσσα Προγραμματισμού,Λειτουργικό Σύστημα,Βάση Δεδομένων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
37,Ποιος είναι ο πρωταρχικός σκοπός ενός πιστοποιητικού TLS/SSL;,Να εγκαθιδρύσει κρυπτογραφημένη επικοινωνία μεταξύ ενός/μίας πελάτη/ισσας και ενός διακομιστή,Να βελτιώσει την ταχύτητα φόρτωσης του ιστότοπου,Να προστατεύει από όλους τους τύπους επιθέσεων στον κυβερνοχώρο,Να χρησιμεύει ως τείχος προστασίας για ένα δίκτυο,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
38,Ποιος είναι ο κύριος στόχος της υψηλής διαθεσιμότητας (high-availability) κατά το σχεδιασμό ενός πληροφοριακού συστήματος;,Να βελτιώσει την απόδοση του συστήματος με τη χρησιμοποίηση της ελάχιστης δυνατής ποσότητας πόρων,"Να ελαχιστοποιήσει τον κίνδυνο διακοπής λειτουργίας του συστήματος, εξασφαλίζοντας συνεχιζόμενη λειτουργία ακόμη και σε περίπτωση βλαβών υλικού ή λογισμικού",Να εξασφαλίσει την ασφαλή αποθήκευση μεγάλου όγκου δεδομένων και την ταχεία ανάκτησή τους,Να διασφαλίσει ότι το σύστημα έχει το χαμηλότερο δυνατό κόστος εγκατάστασης και συντήρησης,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
39,Τι είναι το IP;,Πρωτόκολλο Διαδικτύου,Εσωτερικός Προγραμματισμός,Διεθνές Πρότυπο,Ιντερνετικό Πρόγραμμα,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
40,Ποιος είναι ο πρωταρχικός σκοπός ενός ψηφιακού πιστοποιητικού;,Ο εντοπισμός και η αφαίρεση κακόβουλου λογισμικού,Η κρυπτογράφηση συνημμένων email,Η πιστοποίηση της ταυτότητας ενός ιστότοπου ή ενός/μίας χρήστη/τριας,Η παρακολούθηση της κίνησης δικτύου,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
41,Ποιος παράγοντας ελέγχου ταυτότητας περιλαμβάνει κάτι που γνωρίζει ο/η χρήστης/τρια;,Βιομετρικά δεδομένα,Ασφαλής Διάταξη Δημιουργίας Υπογραφής (ΑΔΔΥ),Κωδικός πρόσβασης ή PIN,Σάρωση δακτυλικών αποτυπωμάτων,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
42,Τι είναι το phishing;,Απάτη μέσω παραπλανητικών μηνυμάτων,Τύπος ιού υπολογιστή,Μέθοδος backup,Τεχνική προγραμματισμού,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
43,Τι είναι το backup;,Αντίγραφο ασφαλείας,Τύπος ιού,Πρόγραμμα περιήγησης,Συσκευή εισόδου,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
44,Ποια είναι η βασική λειτουργία του VPN;,Ασφαλής απομακρυσμένη σύνδεση,Επεξεργασία εικόνας,Αναπαραγωγή βίντεο,Εκτύπωση εγγράφων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
45,"Ποιοι είναι οι προβλεπόμενοι τρόποι αυθεντικοποίησης για χρήση υπηρεσιών μέσω της Ενιαίας Ψηφιακής Πύλης της Δημόσιας Διοίκησης, με βάση τις διατάξεις του νόμου 4727/2020;",Οι κωδικοί-διαπιστευτήρια της Γενικής Γραμματείας Πληροφοριακών Συστημάτων Δημόσιας Διοίκησης (TAXISnet),Οι κωδικοί-διαπιστευτήρια των συστημάτων ηλεκτρονικής τραπεζικής (e-banking) των πιστωτικών ιδρυμάτων,Εγκεκριμένα πιστοποιητικά ηλεκτρονικών υπογραφών,Όλες οι λοιπές απαντήσεις,3,Πληροφορική και Ψηφιακή Διακυβέρνηση
46,Ποια είναι η κύρια λειτουργία ενός τείχους προστασίας;,Κρυπτογράφηση της κυκλοφορίας του δικτύου,Αποτροπή μη εξουσιοδοτημένης πρόσβασης σε ή από ένα ιδιωτικό δίκτυο,Παρακολούθηση ενημερώσεων λογισμικού,Ανίχνευση ιών σε ένα σύστημα,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
47,Ποιο πλαίσιο κυβερνοασφάλειας χρησιμοποιείται συνήθως για την αξιολόγηση και τη διαχείριση των κινδύνων;,ISO/IEC 27001,TCP/IP,DNS,SHA-256,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
48,Ποια από τις παρακάτω εφαρμογές βασίζεται κυρίως στη Μηχανική Μάθηση;,Ηλεκτρονικά παιχνίδια,Επεξεργασία εγγράφων,Αυτόνομα οχήματα,Αναλογικές φωτογραφικές μηχανές,2,Πληροφορική και Ψηφιακή Διακυβέρνηση
49,Ποιο είναι το βασικό χαρακτηριστικό ενός chatbot AI;,Χρησιμοποιεί προγραμματισμένες απαντήσεις,Μαθαίνει από τις αλληλεπιδράσεις με τους/τις χρήστες/τριες,Χρησιμοποιεί αναλογικά σήματα,Δεν χρειάζεται εκπαίδευση,1,Πληροφορική και Ψηφιακή Διακυβέρνηση
50,Τι είναι ένα τεχνητό νευρωνικό δίκτυο;,Ένα σύστημα που μιμείται τη λειτουργία του ανθρώπινου εγκεφάλου,Μια βάση δεδομένων,Ένα νέο είδος hardware,Ένας μηχανισμός αποθήκευσης αρχείων,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
51,Ποια γλώσσα προγραμματισμού χρησιμοποιείται συχνά στην AI;,Python,HTML,CSS,SQL,0,Πληροφορική και Ψηφιακή Διακυβέρνηση
52,Ποιο από τα παρακάτω ταιριάζει καλύτερα σε ένα παράδειγμα επιβλεπόμενης μάθησης στην Τεχνητή Νοημοσύνη;,Ομαδοποίηση παρόμοιων προφίλ πελατών χωρίς ετικέτες,Εκπαίδευση ενός ρομπότ να περπατάει χρησιμοποιώντας δοκιμή και σφάλμα (trial and error),Χρήση αλγορίθμων βασισμένων σε κανόνες (rule-based) για την ταξινόμηση δεδομένων,Ανίχνευση ανεπιθύμητων μηνυμάτων ηλεκτρονικού ταχυδρομείου με ανάλυση χαρακτηρισμένων παραδειγμάτων με ετικέτες Ενότητα: Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα),3,Πληροφορική και Ψηφιακή Διακυβέρνηση
1,Ποιος ήταν ο πρώτος Έλληνας πρωθυπουργός που προσπάθησε να θέσει κριτήρια για τις προσλήψεις των  δημοσίων υπαλλήλων;,Ο Θεόδωρος Δηλιγιάννης,Ο Γεώργιος Θεοτόκης,Ο Χαρίλαος Τρικούπης,Ο Ελευθέριος Βενιζέλος,2,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
2,Πώς ξεκίνησε ο καταστροφικός για την Ελλάδα πόλεμος του 1897 με την Οθωμανική Αυτοκρατορία;,Με την εισβολή οθωμανικών στρατευμάτων στη Θεσσαλία λόγω της επανάστασης των Κρητών,Μετά από μια τυχαία σύγκρουση ελληνικού με οθωμανικό πολεμικό πλοίο στο Αιγαίο,Με παρότρυνση της Ρωσίας προς την Ελλάδα για να συμπέσει ο πόλεμος αυτός με τον ρωσο- τουρκικό πόλεμο που διεξαγόταν τότε,Με την εισβολή στη Μακεδονία ελληνικών ατάκτων ομάδων που παρέσυραν την ελληνική κυβέρνηση σε πόλεμο με την Οθωμανική Αυτοκρατορία σε συμπαράσταση προς τους επαναστατημένους Έλληνες της Κρήτης,3,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
3,Τι ήταν τα λεγόμενα «Ευαγγελικά» ή «Ευαγγελιακά» που έλαβαν χώρα το 1901;,Οι αιματηρές συγκρούσεις όπου φοιτητές και καθηγητές αντιδρούσαν στη μετάφραση των Ευαγγελίων στη δημοτική γλώσσα,Τα επεισόδια μεταξύ απεργών και αστυνομίας που έλαβαν χώρα την ημέρα του Ευαγγελισμού της Θεοτόκου,Οι συγκρούσεις μεταξύ οπαδών του Θεόδωρου Δηλιγιάννη και του Γεωργίου Θεοτόκη που ξέσπασαν μετά τον εορτασμό της 25ης Μαρτίου,Οι συγκρούσεις μεταξύ των φιλοπριγκηπικών Ενωτικών και των οπαδών του Ελευθέριου Βενιζέλου κατά τις βουλευτικές εκλογές στην Κρήτη,0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
4,Τι συνέβη στο Κιλελέρ τον Μάρτιο του 1910;,Αιματηρή σύγκρουση μεταξύ αστυνομίας και καπνεργατών/τριών,Μεθοριακό επεισόδιο μεταξύ της Ελλάδας και της Οθωμανικής Αυτοκρατορίας,Αιματηρή αγροτική εξέγερση κατά των μεγαλο-ιδιοκτητών γης,Σύγκρουση μεταξύ απεργών μεταλλωρύχων και χωροφυλακής,2,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
5,Ποιος πρωθυπουργός μερίμνησε ώστε να προβλεφθεί στο Σύνταγμα και αργότερα να ιδρυθεί το Συμβούλιο της Επικρατείας;,Ο Αλέξανδρος Παπαναστασίου,Ο Ελευθέριος Βενιζέλος,Ο Θεμιστοκλής Σοφούλης,Ο Κωνσταντίνος Καραμανλής,1,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
6,Ποιο γεγονός προκάλεσε την άνοδο του Κωνσταντίνου του Α’ στον θρόνο το 1913;,Η δολοφονία του Γεωργίου Α’ στη Θεσσαλονίκη,"H παραίτηση λόγω ανίατης ασθένειας του πατέρα του, Γεωργίου Α’",Η παραίτηση του Γεωργίου του Α’ που αποτέλεσε επιτακτικό αίτημα στρατιωτικού κινήματος,Ήταν απαίτηση του Ελευθερίου Βενιζέλου λόγω διαφωνίας του με τον Γεώργιο Α’,0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
7,Με τον όρο «Εθνικός διχασμός» έχει καθιερωθεί να αποκαλείται:,Η πολυετής διαμάχη βενιζελικών - αντιβενιζελικών που ξέσπασε με αφορμή τη στάση της Ελλάδος στον Α΄ Παγκόσμιο Πόλεμο,Η εμφύλια σύγκρουση που ξέσπασε τον Δεκέμβριο του 1944 στην Αθήνα,Η εμφύλια σύγκρουση της περιόδου 1946-1949,"Τα όσα ακολούθησαν την αποπομπή του Χαριλάου Τρικούπη από την πρωθυπουργία το 1895 από τον τότε Βασιλιά Γεώργιο Α, μετά την πτώχευση της εποχής εκείνης",0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
8,Ποιος Έλληνας συγγραφέας και πολιτικός δολοφονήθηκε κατά τη διάρκεια του «Εθνικού Διχασμού»;,Ο Ίωνας Δραγούμης,Ο Άγγελος Σικελιανός,Ο Λορέντζος Μαβίλης,Ο Εμμανουήλ Μπενάκης,0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
9,Τι προέβλεπε η Συνθήκη των Σεβρών για τη Σμύρνη και την ενδοχώρα της;,Προσάρτησή της στο Ελληνικό Κράτος,Ανακήρυξή της ως ανεξάρτητου κράτους,Ελληνική διοίκηση και οριστική ρύθμιση του καθεστώτος της με τοπικό δημοψήφισμα μετά από πενταετία,Διατήρηση της οθωμανικής κυριαρχίας με ειδική προστασία για τον ελληνικό πληθυσμό,2,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
10,Ο διεθνώς γνωστός  μαθηματικός Κωνσταντίνος Καραθεοδωρή οργάνωσε:,Το Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,Το Ιωνικό Πανεπιστήμιο της Σμύρνης,Το Πανεπιστήμιο Αθηνών,Την Πάντειο Ανώτατη Σχολή Πολιτικών Επιστημών,1,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
11,"Ποια ήταν η συνθήκη με την οποία ρυθμίστηκαν, μεταξύ άλλων, οι σχέσεις Ελλάδας– Τουρκίας μετά την Μικρασιατική Καταστροφή;",Της Λωζάννης,Του Βουκουρεστίου,Των Σεβρών,Του Λονδίνου,0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
12,Πρώτος Πρόεδρος της Β΄ Ελληνικής Δημοκρατίας διετέλεσε:,Ο Παύλος Κουντουριώτης,Ο Αλέξανδρος Ζαΐμης,Ο Θεόδωρος Πάγκαλος,Ο Αλέξανδρος Παπαναστασίου,0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
13,Ποιος από τους παρακάτω διετέλεσε πρωθυπουργός και αργότερα Πρόεδρος Δημοκρατίας στη διάρκεια του Μεσοπολέμου;,Ο Ελευθέριος Βενιζέλος,Ο Αλέξανδρος Παπαναστασίου,Ο Παναγής Τσαλδάρης,Ο Αλέξανδρος Ζαϊμης,3,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
14,Τι επιπτώσεις είχε η αποκάλυψη της μυστικής πολιτικής συμφωνίας του Κόμματος Φιλελευθέρων και του Κ.Κ.Ε. το 1936 λόγω της αδυναμίας σχηματισμού κυβέρνησης;,Παραιτήθηκαν οι ηγέτες και των δύο κομμάτων,Παραιτήθηκε η τότε κυβέρνηση υπό τον Κωνσταντίνο Δεμερτζή,Δημιουργήθηκε ένα εκρηκτικό πολιτικό κλίμα που εν τέλει διευκόλυνε την άνοδο του Ιωάννη Μεταξά στην πρωθυπουργία,Διαλύθηκε η Βουλή και προκηρύχθηκαν εκ νέου εκλογές,2,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
15,"Σε ποιους απευθυνόταν ο Κωστής Παλαμάς με τους ακόλουθους στίχους: «…αυτό το λόγο θα σας πω, δεν έχω άλλο κανένα, μεθύστε με το αθάνατο κρασί του Εικοσιένα»;",Στους φαντάρους που πολεμούσαν τους Οθωμανούς κατά τον Α΄ Βαλκανικό Πόλεμο,Στους φαντάρους που πολεμούσαν τους Βούλγαρους κατά τον Β΄ Βαλκανικό Πόλεμο,Στους φαντάρους που πολεμούσαν τους Τούρκους στη Μικρά Ασία,Στους φαντάρους που πολεμούσαν στην Πίνδο κατά των Ιταλών εισβολέων,3,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
16,Ποιος από τους παρακάτω δεν διετέλεσε πρωθυπουργός κατοχικής κυβέρνησης στην Ελλάδα:,Ο Γεώργιος Τσολάκογλου,Ο Ιωάννης Ράλλης,Ο Κωνσταντίνος Λογοθετόπουλος,Ο Νικόλαος Πλαστήρας,3,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
17,Ποια αντιστασιακή πράξη κατά τη διάρκεια της γερμανικής κατοχής έγινε με συνεργασία των κυριότερων αντιστασιακών οργανώσεων;,Η ανατίναξη του κτιρίου της ΕΣΠΟ που οργάνωνε την αποστολή Ελλήνων για εργασία στη Γερμανία,Η απαγωγή του γερμανού στρατηγού Κάππε στην Κρήτη,Η ανατίναξη της γέφυρας του Γοργοπόταμου,Η υποστολή της χιτλερικής σημαίας από την Ακρόπολη,2,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
18,Οι πρώτες εκλογές μετά την απελευθέρωση από τη γερμανική κατοχή διεξήχθησαν:,Τον Οκτώβριο του 1944,Τον Μάιο του 1945,Τον Μάρτιο του 1946,Τον Απρίλιο του 1947,2,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
19,Πότε έγινε η τελευταία  διεύρυνση της επικράτειας του Ελληνικού Κράτους:,Το 1922,Το 1935,Το 1947,Το 1961,2,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
20,Ποιοι διατελέσαντες Στρατηγοί εξελέγησαν αργότερα Πρωθυπουργοί:,Νικόλαος Πλαστήρας και Αλέξανδρος Παπάγος,Σοφοκλής Βενιζέλος και Παναγιώτης Κανελλόπουλος,Θεόδωρος Πάγκαλος και Ανδρέας Μιχαλακόπουλος,Γεώργιος Κονδύλης και Παναγής Τσαλδάρης,0,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
21,Ποια από τις παρακάτω υπήρξε η πρώτη Ελληνίδα υπουργός;,Η Ελένη Σκούρα,Η Λίνα Τσαλδάρη,Η Άννα Συνοδινού,Η Μελίνα Μερκούρη,1,Σύγχρονη Ιστορία της Ελλάδος (1875-σήμερα)
